Precinct	total_votes	votes|Robert Martwick	votes|Jeffrey Laporte
29029	122	85	37
29031	59	36	23
29032	115	77	38
38001	150	98	52
38003	137	91	46
38005	153	96	57
38006	133	84	49
38007	96	70	26
38009	172	120	52
38011	174	122	52
38013	180	120	60
38014	163	120	43
38015	150	116	34
38017	160	120	40
38018	180	130	50
38019	200	147	53
38021	138	96	42
38022	189	145	44
38024	158	111	47
38025	138	92	46
38026	156	116	40
38027	146	106	40
38029	167	115	52
38030	151	95	56
38031	192	133	59
38032	138	92	46
38033	159	108	51
38036	153	120	33
38038	148	99	49
38040	182	131	51
38041	205	157	48
39020	244	124	120
39021	186	90	96
39023	232	135	97
39024	220	145	75
39041	3	2	1
41003	86	58	28
41012	169	113	56
41024	134	84	50
41030	169	114	55
41038	182	126	56
45012	204	129	75
45013	192	147	45
45014	234	169	65
45015	292	210	82
45016	200	160	40
45017	204	142	62
45018	173	115	58
45019	88	64	24
45020	129	89	40
45021	184	114	70
45022	178	125	53
45023	174	114	60
45024	163	123	40
45025	129	87	42
45026	99	69	30
45027	158	101	57
45028	132	96	36
45029	119	86	33
45030	176	107	69
45031	157	100	57
45032	126	82	44
45033	128	95	33
45034	205	132	73
45035	224	140	84
45036	223	151	72
45037	174	109	65
45038	153	80	73
45039	162	100	62
45040	194	106	88
45041	175	106	69
45042	199	106	93
45043	196	117	79
45044	172	91	81
45045	99	68	31
45046	126	82	44
45047	127	79	48
45048	119	71	48
