Precinct	total_votes	votes|John A. Pope	votes|Susan Sadlowski Garza	votes|Richard L. Martinez, Jr.	votes|Frank J. Corona	votes|Samantha M. Webb	votes|Olga Bautista	votes|Juan B. Huizar
10001	238	91	57	58	5	10	11	6
10002	323	174	43	44	4	44	1	13
10003	313	176	48	29	3	34	2	21
10004	186	58	39	41	15	8	13	12
10005	254	133	45	27	4	27	0	18
10006	243	132	31	26	4	2	13	35
10007	197	81	30	31	20	6	7	22
10008	126	29	19	64	0	4	7	3
10009	339	159	66	23	2	61	1	27
10010	337	123	111	35	4	15	4	45
10011	342	132	109	43	9	5	4	40
10012	193	83	50	25	6	9	4	16
10013	294	147	33	77	4	5	2	26
10014	421	160	141	49	15	9	4	43
10015	463	287	70	37	11	28	27	3
10016	206	106	32	39	2	18	2	7
10017	429	240	72	39	3	63	4	8
10018	146	73	30	15	6	7	6	9
10019	333	132	100	41	6	25	0	29
10020	338	127	118	44	8	7	9	25
10021	317	132	65	53	13	4	9	41
10022	160	56	41	25	16	0	5	17
10023	278	103	97	22	8	8	6	34
10024	352	198	59	28	1	47	1	18
10025	77	43	19	6	2	1	3	3
10026	178	99	36	10	12	5	2	14
10027	225	95	47	31	5	9	16	22
10028	357	96	170	30	12	4	4	41
10029	251	81	62	39	32	4	1	32
10030	245	95	72	18	21	10	8	21
10031	213	68	48	33	19	5	10	30
10032	284	95	100	34	12	2	4	37
10033	203	71	77	17	5	1	5	27
10034	153	81	37	14	5	3	7	6
10035	404	189	98	33	7	16	4	57
10036	75	36	15	11	6	4	2	1
