Precinct	total_votes	votes|Marvin Mcneil	votes|Jeffrey Baker	votes|Howard B. Brookins, Jr.	votes|Joseph C. Ziegler, Jr.	votes|Doris Lewis Brooks	votes|Patricia A. Foster	votes|Ken Lewis
21001	285	25	9	134	19	77	16	5
21002	180	57	24	63	14	9	11	2
21003	262	34	4	118	45	19	28	14
21004	234	78	17	81	11	17	29	1
21005	294	63	16	125	27	38	19	6
21006	223	53	11	74	18	23	23	21
21007	290	22	3	107	97	45	15	1
21008	258	29	3	98	15	23	16	74
21009	310	21	6	93	138	27	14	11
21010	247	21	3	86	16	23	12	86
21011	248	39	71	86	23	15	12	2
21012	236	34	48	97	21	20	14	2
21013	197	8	10	83	39	26	28	3
21014	318	37	9	152	34	29	18	39
21015	201	28	2	81	28	28	33	1
21016	233	19	11	96	29	20	33	25
21017	211	42	11	86	16	23	24	9
21018	271	27	8	127	29	21	25	34
21019	269	29	3	137	15	21	30	34
21020	232	22	8	83	26	57	29	7
21021	208	29	6	82	15	51	17	8
21022	251	18	15	88	26	37	14	53
21023	245	41	15	103	33	26	21	6
21024	254	24	19	137	23	30	17	4
21025	249	30	13	128	28	33	15	2
21026	219	39	3	80	31	17	46	3
21027	261	69	20	105	26	19	20	2
21028	298	53	12	114	29	30	51	9
21029	254	35	10	108	45	25	22	9
21030	182	8	12	66	18	19	57	2
21031	194	32	21	82	17	31	8	3
21032	237	27	9	111	21	15	21	33
21033	234	26	10	106	28	35	19	10
21034	231	50	24	82	22	18	31	4
21035	273	73	16	96	20	39	21	8
21036	275	31	5	98	14	28	19	80
21037	223	22	9	102	27	41	15	7
21038	189	29	8	84	13	26	23	6
21039	186	41	11	81	5	24	17	7
21040	209	39	18	102	14	23	11	2
21041	261	25	4	140	31	42	15	4
21042	287	24	7	103	18	38	17	80
21043	247	52	13	94	9	33	41	5
21044	255	46	41	106	13	28	14	7
21045	245	36	7	104	23	38	26	11
21046	265	39	16	118	29	29	25	9
21047	213	11	10	71	13	18	90	0
21048	251	9	11	100	24	21	59	27
21049	279	38	9	114	25	27	19	47
21050	216	26	8	89	9	37	25	22
21051	281	50	5	136	17	41	30	2
21052	261	17	10	120	23	24	65	2
21053	189	43	12	100	15	0	15	4
21054	198	18	9	97	12	25	30	7
