Precinct	total_votes	votes|Brian Hopkins	votes|Alyx S. Pattison
02001	236	106	130
02002	336	228	108
02003	263	101	162
02004	259	104	155
02005	295	142	153
02006	260	162	98
02007	266	122	144
02008	266	148	118
02009	258	159	99
02010	350	254	96
02011	363	253	110
02012	324	192	132
02013	389	228	161
02014	336	147	189
02015	257	104	153
02016	203	73	130
02017	336	153	183
02018	284	175	109
02019	293	196	97
02020	264	139	125
02021	302	109	193
02022	367	214	153
02023	316	182	134
02024	278	140	138
02025	257	93	164
02026	230	115	115
02027	278	165	113
02028	320	169	151
02029	278	184	94
02030	279	172	107
02031	455	250	205
02032	219	138	81
02033	501	313	188
02034	327	200	127
02035	253	151	102
02036	266	175	91
02037	351	219	132
02038	359	209	150
02039	233	185	48
02040	224	158	66
02041	185	111	74
02042	254	160	94
02043	338	213	125
02044	214	120	94
02045	318	174	144
02046	176	92	84
