Precinct	total_votes	votes|Tracey Y Bey	votes|William D. Burns	votes|Norman H Bolden
04001	333	73	133	127
04002	246	67	145	34
04003	251	86	149	16
04004	344	94	178	72
04005	318	55	123	140
04006	393	91	225	77
04007	360	75	159	126
04008	353	98	178	77
04009	453	102	238	113
04010	335	83	179	73
04011	284	71	163	50
04012	286	80	152	54
04013	123	47	62	14
04014	296	73	184	39
04015	351	97	196	58
04016	212	42	134	36
04017	237	73	133	31
04018	299	83	135	81
04019	256	76	143	37
04020	266	72	163	31
04021	215	77	122	16
04022	316	46	186	84
04023	356	72	201	83
04024	256	59	161	36
04025	217	68	131	18
04026	318	119	168	31
04027	301	81	162	58
04028	318	79	207	32
04029	241	82	106	53
04030	333	71	197	65
04031	376	31	263	82
04032	275	62	163	50
04033	325	113	164	48
04034	263	59	119	85
04035	381	79	224	78
04036	322	89	196	37
04037	270	64	171	35
04038	350	73	240	37
