Precinct	total_votes	votes|Susana A. Mendoza
01001	157	157
01002	157	157
01003	176	176
01004	176	176
01005	132	132
01006	166	166
01007	130	130
01008	168	168
01009	146	146
01010	153	153
01011	143	143
01012	163	163
01013	80	80
01014	175	175
01015	154	154
01016	174	174
01017	159	159
01018	187	187
01019	237	237
01020	143	143
01021	133	133
01022	97	97
01023	235	235
01024	133	133
01025	131	131
01026	138	138
01027	149	149
01028	101	101
01029	171	171
01030	199	199
01031	184	184
01032	153	153
01033	177	177
01034	137	137
01035	176	176
01036	154	154
01037	157	157
01038	157	157
01039	135	135
01040	173	173
01041	133	133
01042	42	42
01043	138	138
01044	119	119
02001	146	146
02002	173	173
02003	148	148
02004	155	155
02005	156	156
02006	155	155
02007	149	149
02008	153	153
02009	132	132
02010	177	177
02011	208	208
02012	195	195
02013	239	239
02014	223	223
02015	163	163
02016	126	126
02017	228	228
02018	190	190
02019	179	179
02020	116	116
02021	180	180
02022	208	208
02023	183	183
02024	167	167
02025	158	158
02026	140	140
02027	160	160
02028	189	189
02029	166	166
02030	170	170
02031	262	262
02032	121	121
02033	283	283
02034	198	198
02035	142	142
02036	163	163
02037	221	221
02038	190	190
02039	156	156
02040	140	140
02041	93	93
02042	157	157
02043	198	198
02044	121	121
02045	205	205
02046	86	86
03001	230	230
03002	346	346
03003	202	202
03004	240	240
03005	168	168
03006	216	216
03007	228	228
03008	161	161
03009	255	255
03010	128	128
03011	215	215
03012	271	271
03013	248	248
03014	172	172
03015	193	193
03016	201	201
03017	216	216
03018	281	281
03019	175	175
03020	209	209
03021	250	250
03022	188	188
03023	207	207
03024	201	201
03025	241	241
03026	301	301
03027	200	200
03028	208	208
03029	227	227
03030	244	244
03031	236	236
03032	204	204
03033	154	154
03034	243	243
03035	95	95
03036	110	110
03037	178	178
03038	265	265
03039	176	176
03040	252	252
03041	240	240
04001	281	281
04002	224	224
04003	209	209
04004	284	284
04005	263	263
04006	350	350
04007	312	312
04008	302	302
04009	395	395
04010	284	284
04011	223	223
04012	236	236
04013	114	114
04014	258	258
04015	295	295
04016	198	198
04017	207	207
04018	251	251
04019	212	212
04020	227	227
04021	188	188
04022	273	273
04023	301	301
04024	205	205
04025	221	221
04026	251	251
04027	242	242
04028	287	287
04029	206	206
04030	279	279
04031	324	324
04032	248	248
04033	272	272
04034	205	205
04035	339	339
04036	282	282
04037	246	246
04038	316	316
05001	177	177
05002	191	191
05003	206	206
05004	244	244
05005	236	236
05006	196	196
05007	222	222
05008	227	227
05009	262	262
05010	173	173
05011	276	276
05012	166	166
05013	211	211
05014	259	259
05015	221	221
05016	221	221
05017	177	177
05018	216	216
05019	231	231
05020	279	279
05021	206	206
05022	295	295
05023	345	345
05024	221	221
05025	239	239
05026	210	210
05027	170	170
05028	279	279
05029	280	280
05030	149	149
05031	179	179
05032	288	288
05033	264	264
05034	236	236
05035	257	257
05036	170	170
05037	269	269
05038	208	208
05039	206	206
05040	203	203
05041	177	177
06001	268	268
06002	245	245
06003	258	258
06004	155	155
06005	152	152
06006	229	229
06007	207	207
06008	248	248
06009	187	187
06010	115	115
06011	189	189
06012	136	136
06013	185	185
06014	216	216
06015	152	152
06016	247	247
06017	141	141
06018	164	164
06019	194	194
06020	110	110
06021	128	128
06022	151	151
06023	117	117
06024	113	113
06025	108	108
06026	125	125
06027	115	115
06028	109	109
06029	281	281
06030	154	154
06031	250	250
06032	217	217
06033	225	225
06034	236	236
06035	219	219
06036	245	245
06037	284	284
06038	271	271
06039	186	186
06040	202	202
06041	217	217
06042	220	220
06043	195	195
06044	236	236
06045	242	242
06046	198	198
06047	156	156
06048	201	201
07001	171	171
07002	154	154
07003	214	214
07004	193	193
07005	180	180
07006	233	233
07007	146	146
07008	177	177
07009	359	359
07010	223	223
