Precinct	total_votes	votes|Jason C. Ervin
28001	106	106
28002	122	122
28003	107	107
28004	106	106
28005	111	111
28006	104	104
28007	142	142
28008	78	78
28009	156	156
28010	150	150
28011	191	191
28012	168	168
28013	172	172
28014	175	175
28015	65	65
28016	88	88
28017	135	135
28018	137	137
28019	116	116
28020	136	136
28021	128	128
28022	119	119
28023	172	172
28024	125	125
28025	195	195
28026	165	165
28027	135	135
28028	158	158
28029	65	65
28030	25	25
28031	214	214
28032	150	150
28033	178	178
28034	211	211
28035	163	163
28036	107	107
28037	196	196
28038	92	92
28039	103	103
28040	179	179
28041	126	126
28042	145	145
28043	172	172
28044	95	95
28045	96	96
28046	199	199
