Precinct	total_votes	votes|Adolfo Mondragon	votes|Raymond A. Lopez	votes|Rafael Yanez	votes|Eddie L. Daniels	votes|Otis Davis, Jr.	votes|Raul O. Reyes
15001	223	12	110	85	1	2	13
15002	137	1	56	3	34	35	8
15003	152	4	88	3	23	30	4
15004	221	19	125	53	1	1	22
15005	183	12	42	103	2	2	22
15006	219	30	122	52	3	0	12
15007	180	3	86	10	29	41	11
15008	217	10	163	31	3	0	10
15009	267	16	187	47	0	0	17
15010	239	60	113	43	3	4	16
15011	229	49	110	55	0	3	12
15012	252	13	149	73	1	0	16
15013	177	5	46	99	0	4	23
15014	142	7	34	71	1	4	25
15015	158	3	42	84	1	8	20
15016	212	5	144	37	4	5	17
15017	188	6	68	16	37	52	9
15018	156	3	82	8	20	38	5
15019	206	5	64	81	3	25	28
15020	162	7	55	12	39	47	2
15021	156	4	72	8	27	34	11
15022	170	2	61	7	30	67	3
15023	168	2	85	18	13	36	14
15024	136	2	64	8	34	24	4
