Precinct	total_votes	votes|Omar Aquino	votes|Gilbert Villegas
36001	271	126	145
36002	278	108	170
36003	288	137	151
36004	281	126	155
36005	285	113	172
36006	234	151	83
36007	380	140	240
36008	242	140	102
36009	242	113	129
36010	295	113	182
36011	211	110	101
36012	163	93	70
36013	185	104	81
36014	294	128	166
36015	330	173	157
36016	314	118	196
36017	336	139	197
36018	300	117	183
36019	312	124	188
36020	280	146	134
36021	228	66	162
36022	218	97	121
36023	243	123	120
36024	338	125	213
36025	230	145	85
36026	266	127	139
36027	271	108	163
36028	264	84	180
36029	358	121	237
36030	313	141	172
