Precinct	total_votes	votes|Frank M. Bass	votes|Regina D. Lewis	votes|Wallace E. Johnson	votes|Sherita Ann Harris	votes|Roger L. Washington	votes|Vetress Boyce	votes|Ladarius R. Curtis	votes|Darren Tillis	votes|Larry G. Nelson	votes|Michael Scott, Jr.
24001	197	48	31	12	1	1	24	3	12	5	60
24002	188	16	9	11	12	1	37	6	38	6	52
24003	178	13	8	15	8	1	21	11	32	1	68
24004	157	9	11	7	7	2	32	5	27	1	56
24005	132	8	2	41	4	1	25	0	25	1	25
24006	203	22	17	17	6	4	31	3	27	2	74
24007	98	10	6	1	10	1	7	7	16	4	36
24008	140	12	22	11	3	2	35	4	14	1	36
24009	180	16	12	9	12	6	35	5	30	1	54
24010	91	10	3	6	12	1	15	1	13	3	27
24011	205	20	30	10	10	9	20	3	60	2	41
24012	120	10	8	6	9	11	19	2	19	5	31
24013	124	7	11	8	7	3	30	5	14	2	37
24014	182	21	10	11	15	1	45	6	15	2	56
24015	122	14	18	8	5	1	35	2	17	6	16
24016	171	27	11	22	26	8	22	8	16	2	29
24017	146	25	8	4	6	5	14	2	38	2	42
24018	222	25	24	14	16	0	38	9	21	2	73
24019	206	24	21	8	8	3	14	14	29	3	82
24020	180	21	23	4	8	12	22	9	35	2	44
24021	120	3	4	15	4	1	37	1	17	1	37
24022	248	18	19	12	7	12	53	4	43	9	71
24023	169	11	8	8	39	1	16	7	16	1	62
24024	230	10	15	14	7	4	78	6	30	3	63
24025	184	16	21	7	5	4	25	4	32	14	56
24026	294	15	13	47	9	3	50	9	38	1	109
24027	204	17	13	12	7	4	32	5	38	0	76
24028	161	7	29	7	4	1	32	4	33	3	41
24029	158	51	11	7	5	2	9	3	15	4	51
24030	110	3	6	7	4	4	21	2	10	2	51
24031	198	40	8	10	10	2	34	4	25	1	64
24032	118	13	10	2	3	4	8	6	43	2	27
24033	104	7	19	1	7	2	10	3	17	3	35
24034	178	9	15	9	6	2	51	7	27	4	48
24035	210	8	6	10	9	5	70	2	37	5	58
24036	251	96	12	7	8	5	17	4	31	2	69
24037	106	22	7	5	5	0	9	0	9	1	48
24038	178	15	5	15	11	4	11	7	16	5	89
24039	246	33	41	14	25	4	18	8	16	7	80
24040	180	6	9	29	10	2	34	4	12	3	71
24041	158	14	19	20	12	1	15	4	13	5	55
