Precinct	total_votes	votes|Emma M. Mitts	votes|Tara Stamps
37001	225	153	72
37002	173	81	92
37003	164	93	71
37004	218	97	121
37005	294	128	166
37006	266	125	141
37007	187	120	67
37008	190	100	90
37009	246	91	155
37010	310	163	147
37011	172	107	65
37012	186	86	100
37013	188	114	74
37014	263	152	111
37015	286	190	96
37016	266	133	133
37017	215	124	91
37018	264	136	128
37019	182	105	77
37020	207	112	95
37021	240	143	97
37022	235	122	113
37023	269	145	124
37024	276	132	144
37025	257	141	116
37026	338	191	147
37027	269	153	116
37028	205	120	85
37029	281	130	151
37030	239	129	110
37031	292	127	165
37032	246	99	147
37033	271	162	109
37034	256	170	86
37035	279	168	111
37036	209	117	92
37037	264	131	133
37038	302	128	174
37039	230	129	101
37040	292	148	144
37041	322	145	177
