Precinct	total_votes	votes|Leslie A. Hairston	votes|Tiffany N. Brooks	votes|Jocelyn Hare	votes|Robin Boyd Clark	votes|Jedidiah L. Brown	votes|Anne Marie Miles
05001	220	95	30	6	11	36	42
05002	219	110	52	3	6	28	20
05003	247	138	6	28	11	4	60
05004	280	158	13	39	13	15	42
05005	276	141	56	14	17	21	27
05006	246	101	45	6	21	38	35
05007	248	152	7	32	9	9	39
05008	287	138	8	38	4	8	91
05009	307	160	7	37	13	40	50
05010	218	105	31	8	11	34	29
05011	325	197	6	31	7	10	74
05012	193	98	41	5	12	16	21
05013	247	130	35	20	5	27	30
05014	313	142	62	8	21	34	46
05015	257	156	16	24	4	13	44
05016	257	154	32	21	8	11	31
05017	211	119	17	5	13	23	34
05018	252	140	7	41	8	11	45
05019	294	169	1	23	6	9	86
05020	329	208	9	42	9	16	45
05021	254	137	6	29	9	13	60
05022	354	189	6	45	11	12	91
05023	438	232	7	60	7	14	118
05024	260	139	10	33	6	22	50
05025	281	146	31	6	24	22	52
05026	249	106	20	6	35	21	61
05027	216	100	1	27	6	6	76
05028	331	189	26	4	37	38	37
05029	333	133	38	11	56	34	61
05030	179	95	15	15	9	18	27
05031	219	109	25	3	18	31	33
05032	347	173	29	12	34	21	78
05033	317	177	46	18	12	13	51
05034	313	154	4	33	5	10	107
05035	304	158	2	26	9	9	100
05036	207	90	60	0	18	21	18
05037	351	203	9	19	13	9	98
05038	246	117	37	7	37	36	12
05039	262	147	12	17	5	9	72
05040	250	124	25	6	30	25	40
05041	198	122	1	13	9	5	48
