Precinct	total_votes	votes|Lona Lane	votes|Derrick G. Curtis	votes|Michael A. Davis	votes|Chuks Onyezia	votes|Consandra Harris	votes|Brandon Loggins
18001	173	46	76	20	23	3	5
18002	195	72	49	27	34	1	12
18003	230	46	54	29	97	1	3
18004	276	96	53	89	29	5	4
18005	183	49	81	26	9	9	9
18006	217	50	49	33	76	4	5
18007	262	74	109	31	37	5	6
18008	278	82	76	47	62	9	2
18009	276	69	48	103	49	6	1
18010	355	104	127	57	58	5	4
18011	193	60	66	19	40	4	4
18012	242	82	99	35	22	3	1
18013	285	69	107	25	61	18	5
18014	254	82	74	55	37	5	1
18015	255	77	27	32	32	18	69
18016	259	69	62	63	55	7	3
18017	240	71	106	27	27	6	3
18018	269	104	84	46	21	7	7
18019	275	126	61	54	18	7	9
18020	228	84	68	42	15	9	10
18021	339	87	145	37	60	6	4
18022	333	121	55	98	42	9	8
18023	191	36	68	19	53	10	5
18024	197	77	47	16	46	9	2
18025	213	50	45	36	75	5	2
18026	346	129	48	72	85	10	2
18027	184	28	87	38	18	4	9
18028	235	46	59	32	92	4	2
18029	223	86	63	27	39	7	1
18030	218	50	38	45	73	6	6
18031	254	58	113	37	34	9	3
18032	266	90	93	44	21	13	5
18033	206	39	129	20	6	7	5
18034	380	146	68	66	81	17	2
18035	326	117	79	56	68	4	2
18036	231	75	82	23	45	3	3
18037	288	69	66	70	69	12	2
18038	260	119	57	45	25	6	8
18039	161	42	61	34	15	7	2
18040	279	57	72	51	80	8	11
18041	297	125	63	48	55	3	3
18042	195	67	71	24	20	11	2
18043	175	38	48	26	45	8	10
18044	235	75	56	27	75	1	1
18045	215	65	79	24	24	10	13
18046	244	43	90	32	53	17	9
18047	154	37	70	28	11	4	4
18048	186	44	82	39	6	5	10
18049	156	49	64	25	9	3	6
18050	177	48	89	22	12	1	5
