Precinct	total_votes	votes|Vetress Boyce	votes|Michael Scott, Jr.
24001	210	77	133
24002	192	64	128
24003	213	53	160
24004	185	62	123
24005	136	51	85
24006	228	76	152
24007	143	33	110
24008	147	59	88
24009	215	70	145
24010	128	42	86
24011	221	77	144
24012	123	35	88
24013	115	41	74
24014	187	64	123
24015	136	59	77
24016	251	84	167
24017	155	38	117
24018	243	72	171
24019	240	83	157
24020	172	42	130
24021	114	46	68
24022	276	110	166
24023	198	39	159
24024	268	123	145
24025	190	63	127
24026	316	91	225
24027	230	79	151
24028	183	62	121
24029	167	35	132
24030	122	34	88
24031	243	75	168
24032	134	37	97
24033	119	32	87
24034	193	82	111
24035	297	112	185
24036	287	82	205
24037	131	42	89
24038	202	49	153
24039	292	76	216
24040	205	76	129
24041	150	52	98
