Precinct	total_votes	votes|Matthew J. O'Shea	votes|Anne Schaible
19001	317	256	61
19002	426	318	108
19003	237	165	72
19004	377	275	102
19005	370	236	134
19006	336	234	102
19007	317	249	68
19008	335	254	81
19009	253	204	49
19010	381	258	123
19011	322	234	88
19012	273	201	72
19013	349	248	101
19014	335	232	103
19015	419	288	131
19016	321	261	60
19017	292	215	77
19018	304	235	69
19019	394	257	137
19020	253	180	73
19021	343	250	93
19022	346	232	114
19023	328	252	76
19024	253	193	60
19025	304	189	115
19026	328	237	91
19027	303	226	77
19028	330	268	62
19029	290	195	95
19030	262	184	78
19031	292	201	91
19032	295	216	79
19033	320	239	81
19034	320	243	77
19035	282	207	75
19036	331	245	86
19037	294	228	66
19038	277	208	69
19039	75	47	28
19040	324	224	100
19041	288	205	83
19042	251	161	90
19043	362	302	60
19044	345	258	87
19045	337	271	66
19046	352	269	83
19047	455	323	132
19048	305	244	61
19049	398	284	114
19050	245	178	67
19051	380	315	65
19052	324	212	112
19053	311	222	89
19054	247	169	78
19055	279	197	82
19056	368	202	166
19057	277	192	85
