Precinct	total_votes	votes|Michael R. Zalewski	votes|Martin Arteaga	votes|Anna Goral
23001	352	279	24	49
23002	268	184	29	55
23003	320	249	13	58
23004	347	282	32	33
23005	191	88	72	31
23006	274	198	44	32
23007	172	90	63	19
23008	311	192	47	72
23009	182	110	56	16
23010	247	187	34	26
23011	222	123	79	20
23012	336	248	21	67
23013	157	82	67	8
23014	280	223	17	40
23015	163	78	67	18
23016	307	236	6	65
23017	129	35	85	9
23018	257	185	21	51
23019	170	68	93	9
23020	129	40	81	8
23021	340	261	11	68
23022	276	201	32	43
23023	277	208	22	47
23024	179	104	51	24
23025	204	106	61	37
23026	277	168	67	42
23027	326	261	9	56
23028	308	248	24	36
23029	246	172	37	37
23030	236	121	90	25
23031	178	84	78	16
23032	228	122	85	21
23033	188	66	97	25
23034	187	106	67	14
23035	229	163	29	37
23036	349	294	6	49
23037	308	251	12	45
23038	265	197	17	51
23039	191	124	50	17
