Precinct	total_votes	votes|Proco ''Joe'' Moreno	votes|Anne Shaw	votes|Andrew Hamilton	votes|Ronda Locke
01001	187	104	46	4	33
01002	180	83	52	15	30
01003	208	80	56	3	69
01004	225	71	44	6	104
01005	166	85	13	2	66
01006	207	103	60	13	31
01007	153	77	45	3	28
01008	213	149	32	7	25
01009	196	136	39	5	16
01010	185	89	37	7	52
01011	177	66	47	5	59
01012	218	106	45	20	47
01013	99	49	31	0	19
01014	217	131	32	15	39
01015	189	86	71	12	20
01016	193	107	54	5	27
01017	198	102	64	7	25
01018	219	99	60	13	47
01019	292	150	85	10	47
01020	175	83	50	8	34
01021	171	77	33	8	53
01022	128	79	37	4	8
01023	294	148	73	6	67
01024	160	110	32	2	16
01025	148	84	43	6	15
01026	150	97	32	7	14
01027	166	91	41	8	26
01028	125	105	11	3	6
01029	218	115	56	6	41
01030	246	129	75	12	30
01031	208	148	39	4	17
01032	194	94	36	15	49
01033	231	105	50	6	70
01034	173	85	56	3	29
01035	215	87	60	9	59
01036	191	52	48	5	86
01037	198	77	69	3	49
01038	214	129	35	8	42
01039	174	70	37	3	64
01040	218	119	58	11	30
01041	151	55	51	11	34
01042	56	30	15	2	9
01043	166	87	51	4	24
01044	140	76	36	4	24
