Precinct	total_votes	votes|John Garrido	votes|John S. Arena	votes|Michelle R. Baert	votes|Michael S. Diaz
45001	205	31	145	25	4
45002	195	34	126	34	1
45003	227	53	134	30	10
45004	338	105	201	22	10
45005	308	92	171	41	4
45006	358	132	175	49	2
45007	396	89	239	55	13
45008	260	64	155	31	10
45009	269	59	163	42	5
45010	290	87	172	27	4
45011	190	31	145	13	1
45012	263	75	149	31	8
45013	297	90	189	15	3
45014	336	118	166	48	4
45015	426	149	200	75	2
45016	261	88	119	50	4
45017	310	88	184	31	7
45018	297	116	124	51	6
45019	160	44	90	23	3
45020	183	61	96	17	9
45021	298	132	119	41	6
45022	271	121	114	30	6
45023	299	125	134	38	2
45024	263	148	89	25	1
45025	217	102	85	30	0
45026	166	70	64	32	0
45027	265	119	97	45	4
45028	237	99	111	24	3
45029	201	95	79	21	6
45030	247	59	135	47	6
45031	251	91	109	48	3
45032	247	92	112	41	2
45033	175	68	77	26	4
45034	298	168	92	34	4
45035	344	122	169	45	8
45036	340	141	161	35	3
45037	280	110	122	45	3
45038	248	123	82	36	7
45039	278	127	95	53	3
45040	301	175	80	43	3
45041	310	215	56	36	3
45042	339	237	75	24	3
45043	347	201	101	45	0
45044	320	200	83	36	1
45045	221	116	77	26	2
45046	201	85	79	33	4
45047	241	112	94	32	3
45048	234	105	80	45	4
