Precinct	total_votes	votes|Brendan Reilly
42001	243	243
42002	143	143
42003	136	136
42004	264	264
42005	118	118
42006	297	297
42007	229	229
42008	207	207
42009	152	152
42010	160	160
42011	180	180
42012	134	134
42013	307	307
42014	119	119
42015	94	94
42016	155	155
42017	155	155
42018	123	123
42019	213	213
42020	113	113
42021	111	111
42022	82	82
42023	144	144
42024	187	187
42025	183	183
42026	179	179
42027	191	191
42028	280	280
42029	146	146
42030	222	222
42031	155	155
42032	116	116
42033	157	157
42034	214	214
42035	245	245
42036	165	165
42037	85	85
42038	133	133
42039	110	110
42040	169	169
42041	159	159
42042	196	196
