Precinct	total_votes	votes|Joann Thompson	votes|Cynthia Lomax	votes|Toni L. Foulkes	votes|Jose A. Garcia	votes|Stephanie Coleman
16001	180	2	6	60	106	6
16002	189	3	3	75	31	77
16003	164	8	12	97	10	37
16004	172	1	14	110	14	33
16005	145	2	10	58	11	64
16006	182	1	11	129	11	30
16007	162	9	5	43	27	78
16008	113	0	2	47	10	54
16009	200	1	21	69	7	102
16010	181	5	9	82	13	72
16011	155	3	7	59	54	32
16012	125	3	5	44	15	58
16013	139	2	5	61	56	15
16014	149	1	5	42	5	96
16015	187	10	8	67	12	90
16016	190	6	17	114	8	45
16017	142	1	6	57	54	24
16018	192	2	9	87	51	43
16019	162	2	6	74	24	56
16020	153	7	9	44	1	92
16021	146	4	7	93	6	36
16022	138	2	4	87	12	33
16023	148	0	2	35	77	34
16024	126	1	10	72	9	34
16025	214	7	10	77	7	113
16026	179	7	4	42	11	115
16027	150	3	6	65	3	73
16028	204	2	8	114	8	72
16029	163	1	40	82	3	37
16030	167	3	21	60	14	69
16031	222	1	8	91	3	119
16032	147	3	1	27	94	22
16033	209	3	33	111	5	57
16034	183	2	17	85	5	74
16035	142	0	9	58	46	29
16036	149	7	7	53	7	75
