Precinct	total_votes	votes|George Cardenas
12001	186	186
12002	130	130
12003	167	167
12004	152	152
12005	178	178
12006	161	161
12007	119	119
12008	170	170
12009	138	138
12010	129	129
12011	150	150
12012	141	141
12013	143	143
12014	134	134
12015	146	146
12016	128	128
12017	164	164
12018	121	121
12019	136	136
12020	176	176
12021	141	141
12022	105	105
12023	164	164
