Precinct	total_votes	votes|Caroline Vickrey	votes|Jennifer ''Jen'' Kramer	votes|Michele Smith	votes|Jerry Quandt
43001	153	46	26	73	8
43002	237	90	39	91	17
43003	279	110	23	113	33
43004	226	52	62	96	16
43005	192	66	31	87	8
43006	152	70	25	46	11
43007	195	57	45	88	5
43008	216	89	36	85	6
43009	318	95	51	142	30
43010	246	79	47	95	25
43011	169	69	29	65	6
43012	158	46	18	84	10
43013	248	98	55	90	5
43014	283	79	75	115	14
43015	232	67	58	95	12
43016	219	66	38	95	20
43017	192	75	28	77	12
43018	266	113	39	98	16
43019	273	108	75	76	14
43020	301	161	34	84	22
43021	262	185	14	56	7
43022	137	48	18	55	16
43023	105	29	26	46	4
43024	197	39	50	95	13
43025	249	77	30	123	19
43026	207	81	22	100	4
43027	253	107	31	99	16
43028	274	100	51	107	16
43029	243	125	38	68	12
43030	220	95	42	69	14
43031	272	65	31	168	8
43032	273	97	38	122	16
43033	299	75	38	177	9
43034	193	66	38	80	9
43035	316	90	55	157	14
43036	82	35	15	27	5
43037	186	64	24	88	10
43038	261	77	53	126	5
43039	191	64	47	72	8
43040	136	42	27	55	12
43041	304	114	33	139	18
43042	214	88	27	89	10
43043	326	86	73	150	17
43044	250	129	21	87	13
43045	191	32	16	101	42
43046	110	36	15	58	1
