Precinct	total_votes	votes|Tim Meegan	votes|Deborah L. Mell	votes|Annisa Wanat
33001	267	109	120	38
33002	334	126	161	47
33003	302	122	106	74
33004	274	90	151	33
33005	207	58	125	24
33006	241	57	167	17
33007	298	102	124	72
33008	465	185	162	118
33009	289	73	185	31
33010	309	77	204	28
33011	275	110	113	52
33012	289	71	192	26
33013	247	59	162	26
33014	112	41	58	13
33015	328	141	137	50
33016	408	126	256	26
33017	310	129	133	48
33018	300	127	113	60
33019	238	63	127	48
33020	313	142	102	69
33021	285	125	131	29
33022	350	71	256	23
33023	312	117	133	62
33024	483	138	227	118
33025	328	100	172	56
33026	190	54	101	35
33027	214	98	84	32
33028	203	68	101	34
