Precinct	total_votes	votes|Toni L. Foulkes	votes|Stephanie Coleman
16001	299	255	44
16002	210	114	96
16003	210	119	91
16004	222	125	97
16005	183	76	107
16006	207	135	72
16007	216	86	130
16008	128	60	68
16009	243	81	162
16010	210	96	114
16011	221	121	100
16012	175	84	91
16013	210	133	77
16014	181	56	125
16015	246	85	161
16016	251	172	79
16017	222	125	97
16018	243	138	105
16019	193	103	90
16020	206	65	141
16021	180	101	79
16022	192	114	78
16023	217	135	82
16024	147	85	62
16025	244	82	162
16026	213	51	162
16027	181	90	91
16028	273	136	137
16029	193	114	79
16030	202	93	109
16031	243	94	149
16032	225	147	78
16033	230	117	113
16034	205	97	108
16035	210	133	77
16036	184	61	123
