Precinct	total_votes	votes|Roberto Maldonado	votes|Adam Corona	votes|Juanita Irizarry
26001	158	71	23	64
26002	166	80	37	49
26003	158	68	23	67
26004	139	102	11	26
26005	145	68	23	54
26006	162	102	24	36
26007	118	33	11	74
26008	81	54	8	19
26009	162	96	23	43
26010	147	61	26	60
26011	173	103	13	57
26012	166	91	19	56
26013	105	61	17	27
26014	109	48	14	47
26015	81	47	8	26
26016	93	68	8	17
26017	155	73	21	61
26018	150	100	9	41
26019	96	67	6	23
26020	162	91	15	56
26021	209	96	32	81
26022	105	69	15	21
26023	106	74	6	26
26024	157	100	3	54
26025	159	80	29	50
26026	90	30	16	44
26027	182	83	50	49
26028	216	82	51	83
26029	86	44	1	41
26030	130	65	18	47
26031	97	75	10	12
26032	166	65	33	68
26033	161	89	12	60
26034	190	96	22	72
26035	184	104	20	60
26036	143	52	27	64
26037	148	76	8	64
26038	100	60	6	34
26039	166	63	28	75
26040	76	40	12	24
26041	204	92	54	58
26042	135	58	21	56
26043	91	53	12	26
26044	96	67	12	17
26045	58	36	10	12
26046	95	40	22	33
26047	116	69	14	33
26048	147	53	31	63
26049	94	71	5	18
