Precinct	total_votes	votes|Jerry Paszek	votes|Tom Caravette	votes|Heather Sattler	votes|Nicholas Sposato	votes|Michael C. Duda	votes|Carmen Hernandez	votes|Belinda Cadiz
38001	235	26	31	97	46	4	11	20
38002	409	8	6	9	365	21	0	0
38003	243	23	8	41	134	17	10	10
38004	301	22	4	21	224	18	11	1
38005	288	22	4	11	235	7	7	2
38006	260	18	5	10	190	20	15	2
38007	316	19	5	14	192	78	3	5
38008	255	61	14	21	139	9	10	1
38009	330	26	8	19	228	40	6	3
38010	219	21	2	27	138	11	15	5
38011	224	37	34	57	73	7	10	6
38012	320	16	6	18	265	10	4	1
38013	311	13	13	18	234	14	11	8
38014	260	28	52	41	108	11	6	14
38015	229	34	25	56	68	14	24	8
38016	279	27	4	22	195	18	11	2
38017	338	18	5	16	259	30	5	5
38018	277	30	24	89	100	7	6	21
38019	268	30	24	76	95	21	14	8
38020	283	17	2	17	217	22	4	4
38021	221	24	29	39	82	18	20	9
38022	242	25	23	57	95	11	10	21
38023	292	44	18	68	116	10	24	12
38024	364	13	6	13	213	106	9	4
38025	206	32	29	48	61	11	3	22
38026	262	31	21	68	96	21	16	9
38027	287	24	3	10	214	26	7	3
38028	349	24	4	31	258	22	1	9
38029	252	22	4	17	175	28	6	0
38030	293	29	0	8	208	32	8	8
38031	283	24	26	118	95	4	7	9
38032	221	32	13	64	85	10	6	11
38033	223	31	37	50	78	11	9	7
38034	224	44	16	50	74	4	30	6
38035	255	72	13	50	85	5	28	2
38036	219	20	43	66	63	7	14	6
38037	279	53	16	76	84	16	28	6
38038	250	54	8	25	126	24	12	1
38039	293	44	22	58	132	11	19	7
38040	259	45	41	64	82	3	13	11
38041	264	22	14	149	65	4	9	1
