Precinct	total_votes	votes|Rahm Emanuel	votes|Willie Wilson	votes|Robert W. Fioretti	votes|Jesus ''Chuy'' Garcia	votes|William Walls, Iii
01001	195	62	5	11	115	2
01002	189	56	10	13	109	1
01003	208	95	3	15	94	1
01004	232	112	4	21	93	2
01005	169	90	4	10	64	1
01006	216	88	3	17	106	2
01007	154	60	2	15	72	5
01008	225	118	15	8	81	3
01009	198	87	12	13	86	0
01010	182	99	5	12	63	3
01011	180	73	2	16	87	2
01012	224	74	6	34	105	5
01013	100	39	2	4	54	1
01014	220	112	10	15	82	1
01015	194	49	9	24	110	2
01016	197	57	3	8	129	0
01017	206	73	9	11	110	3
01018	225	79	8	10	127	1
01019	302	100	0	14	184	4
01020	186	50	8	11	116	1
01021	174	89	4	5	71	5
01022	131	58	2	7	63	1
01023	303	100	6	22	174	1
01024	170	62	11	5	92	0
01025	157	49	9	10	86	3
01026	159	48	1	9	100	1
01027	170	74	7	14	73	2
01028	132	64	16	2	36	14
01029	224	105	10	16	90	3
01030	252	77	12	5	154	4
01031	209	99	10	10	87	3
01032	195	82	2	28	83	0
01033	233	100	7	19	105	2
01034	181	60	3	12	106	0
01035	221	98	4	20	94	5
01036	191	92	4	29	66	0
01037	206	94	1	28	82	1
01038	222	70	6	24	120	2
01039	178	70	1	14	93	0
01040	227	113	12	20	77	5
01041	152	46	2	5	96	3
01042	56	10	0	6	40	0
01043	170	62	8	12	81	7
01044	143	54	2	14	72	1
02001	186	90	8	12	76	0
02002	243	186	7	20	29	1
02003	194	95	7	16	72	4
02004	205	68	6	31	98	2
02005	202	75	6	18	102	1
02006	195	65	8	30	91	1
02007	196	106	9	13	67	1
02008	199	73	7	27	91	1
02009	168	125	3	11	28	1
02010	257	202	5	23	26	1
02011	272	219	2	14	35	2
02012	247	148	14	23	53	9
02013	338	237	6	33	60	2
02014	288	116	13	35	118	6
02015	205	99	13	19	69	5
02016	160	81	6	13	60	0
02017	302	156	9	23	111	3
02018	233	169	4	18	39	3
02019	250	205	6	7	30	2
02020	155	102	4	14	35	0
02021	233	107	3	17	105	1
02022	278	192	7	23	56	0
02023	248	208	2	3	35	0
02024	213	156	7	14	33	3
02025	198	106	3	25	63	1
02026	201	123	17	17	42	2
02027	231	176	7	16	29	3
02028	251	170	3	19	58	1
02029	220	160	5	12	42	1
02030	210	149	3	17	40	1
02031	342	264	8	22	48	0
02032	165	111	5	11	34	4
02033	374	269	4	36	62	3
02034	241	190	1	17	32	1
02035	193	139	7	16	29	2
02036	223	162	7	22	31	1
02037	273	168	10	29	66	0
02038	279	215	4	20	39	1
02039	213	143	19	15	32	4
02040	185	126	4	17	35	3
02041	132	91	5	13	22	1
02042	205	139	10	14	39	3
02043	271	204	8	21	38	0
02044	161	100	2	16	43	0
