Precinct	total_votes	votes|Carrie M. Austin	votes|Henry Moses	votes|Shirley J. White	votes|Charles R. Thomas Sr.
34001	302	214	27	52	9
34002	241	147	33	51	10
34003	251	162	23	38	28
34004	198	101	49	41	7
34005	227	150	34	28	15
34006	310	209	38	38	25
34007	292	218	26	37	11
34008	184	117	26	34	7
34009	191	120	20	31	20
34010	248	160	25	52	11
34011	196	100	21	63	12
34012	279	158	65	45	11
34013	256	122	18	103	13
34014	189	107	33	34	15
34015	171	90	21	46	14
34016	190	106	22	40	22
34017	298	174	8	108	8
34018	184	105	38	29	12
34019	238	130	9	93	6
34020	322	202	50	51	19
34021	343	251	21	60	11
34022	266	158	49	46	13
34023	212	129	13	57	13
34024	208	124	51	23	10
34025	297	191	22	67	17
34026	277	176	30	45	26
34027	211	99	68	32	12
34028	156	112	17	22	5
34029	195	107	20	56	12
34030	283	170	58	37	18
34031	177	105	9	47	16
34032	237	125	15	91	6
34033	207	128	30	28	21
34034	272	173	30	62	7
34035	256	124	30	91	11
34036	255	154	35	49	17
34037	150	87	17	25	21
34038	145	94	16	16	19
34039	180	113	38	19	10
34040	262	150	22	46	44
34041	179	96	7	70	6
34042	269	165	30	57	17
34043	252	163	20	60	9
34044	251	157	13	59	22
34045	263	172	39	47	5
34046	176	109	17	45	5
34047	221	108	3	103	7
34048	296	204	21	60	11
34049	306	204	18	64	20
34050	209	126	12	49	22
34051	307	220	12	23	52
34052	216	159	21	31	5
34053	129	65	10	50	4
