Precinct	total_votes	votes|James Cappleman	votes|Amy Crawford	votes|Denice L. Davis
46001	266	110	98	58
46002	242	101	90	51
46003	319	142	157	20
46004	294	170	87	37
46005	214	69	140	5
46006	232	102	89	41
46007	395	218	149	28
46008	222	75	39	108
46009	251	150	84	17
46010	223	86	118	19
46011	239	128	66	45
46012	254	109	109	36
46013	235	144	80	11
46014	341	141	52	148
46015	247	145	87	15
46016	270	121	127	22
46017	331	135	164	32
46018	221	106	89	26
46019	204	87	104	13
46020	276	102	72	102
46021	184	101	58	25
46022	234	39	104	91
46023	217	102	44	71
46024	284	121	143	20
46025	263	107	77	79
46026	222	117	64	41
46027	246	132	81	33
46028	316	192	107	17
46029	238	136	69	33
46030	251	105	95	51
46031	205	76	121	8
46032	304	123	96	85
46033	295	138	142	15
46034	259	141	102	16
46035	290	157	91	42
46036	266	116	132	18
46037	199	102	66	31
46038	215	105	71	39
46039	222	101	106	15
46040	256	148	83	25
