Precinct	total_votes	votes|Ryan Podges	votes|Margaret Croke	votes|Marty Malone	votes|Jonathan A. ''Yoni'' Pizer	votes|James A. ''Jimmy'' Garfield
02028	258	4	149	10	77	18
02030	207	8	112	13	63	11
02031	335	6	175	12	123	19
02033	417	18	231	20	128	20
02035	268	24	142	12	85	5
02037	269	6	157	14	83	9
02038	97	3	53	7	29	5
02044	158	7	97	4	48	2
27009	0	0	0	0	0	0
27012	154	6	77	6	57	8
27046	171	9	84	7	62	9
43004	273	13	135	12	100	13
43008	195	4	100	7	74	10
43012	169	9	92	8	48	12
43013	242	9	121	4	88	20
43014	340	7	203	7	108	15
43015	282	9	159	21	85	8
43019	320	9	180	11	103	17
43025	269	6	137	6	103	17
43026	235	3	127	6	85	14
43027	295	14	153	8	116	4
43028	260	8	150	12	75	15
43032	315	16	171	7	106	15
43033	294	9	138	8	126	13
43034	185	8	98	5	60	14
43036	172	9	85	3	66	9
43038	230	6	108	5	103	8
43042	269	7	142	6	103	11
43043	292	9	165	5	104	9
44001	392	25	159	5	185	18
44003	254	7	121	3	116	7
44004	216	9	103	6	82	16
44005	260	17	105	3	115	20
44006	453	14	219	14	168	38
44007	232	7	103	8	104	10
44008	303	20	158	7	97	21
44010	312	12	154	9	115	22
44011	107	6	51	2	44	4
44012	374	10	126	3	216	19
44013	273	11	137	2	109	14
44014	203	13	94	7	77	12
44015	311	3	101	8	182	17
44017	393	24	168	4	164	33
44018	318	9	171	11	111	16
44019	430	19	170	8	220	13
44020	301	15	128	7	132	19
44021	381	20	135	8	193	25
44022	398	8	165	10	205	10
44023	339	13	165	3	138	20
44024	235	7	95	2	120	11
44025	19	0	6	0	13	0
44026	385	23	159	6	171	26
44027	393	10	182	13	167	21
44028	308	9	121	7	158	13
44029	350	15	175	9	134	17
44031	256	15	97	14	121	9
44032	352	13	135	6	182	16
44033	290	23	102	1	149	15
44034	404	13	139	13	216	23
44035	286	14	123	4	117	28
44036	279	19	131	3	111	15
44037	441	16	180	3	220	22
44038	298	13	130	7	127	21
44039	315	8	155	6	124	22
44040	330	9	169	5	125	22
44041	420	17	205	19	154	25
46003	428	9	178	10	194	37
46005	392	9	181	7	158	37
46007	383	19	170	13	161	20
46009	417	13	195	8	171	30
46010	542	21	230	13	236	42
46011	286	16	106	9	129	26
46013	326	8	155	6	132	25
46015	346	12	139	16	142	37
46017	405	18	162	11	171	43
46018	381	21	180	13	147	20
46019	273	12	97	10	142	12
46024	425	17	206	11	161	30
46026	170	6	85	4	62	13
46027	429	15	182	15	166	51
46028	234	6	107	9	99	13
46029	190	5	75	9	82	19
46030	376	19	170	15	156	16
46031	362	13	134	9	177	29
46033	383	10	143	7	192	31
46034	384	16	171	11	154	32
46035	269	19	107	6	108	29
46036	361	17	130	14	175	25
46038	340	11	172	9	114	34
46039	318	17	127	14	149	11
