Precinct	total_votes	votes|Sara Feigenholtz
01028	184	184
01042	52	52
02020	99	99
02022	592	592
02024	512	512
02026	474	474
02028	644	644
02030	465	465
02031	602	602
02033	768	768
02035	754	754
02037	487	487
02038	160	160
02044	321	321
27009	0	0
27012	392	392
27046	406	406
32001	508	508
32005	53	53
32007	710	710
32008	777	777
32009	631	631
32010	685	685
32013	692	692
32015	556	556
32016	580	580
32018	586	586
32019	582	582
32021	607	607
32023	637	637
32024	517	517
32025	598	598
32027	643	643
32029	169	169
32030	626	626
32033	272	272
32034	73	73
32036	29	29
32037	443	443
32038	605	605
32039	689	689
32040	630	630
32041	640	640
32042	572	572
33003	121	121
33005	140	140
33008	750	750
33010	519	519
33020	92	92
33023	659	659
33024	720	720
43002	636	636
43004	699	699
43006	475	475
43008	423	423
43009	551	551
43012	389	389
43013	581	581
43014	584	584
43015	579	579
43016	840	840
43017	448	448
43018	646	646
43019	598	598
43020	738	738
43021	652	652
43022	421	421
43024	433	433
43025	487	487
43026	363	363
43027	521	521
43028	731	731
43029	810	810
43030	587	587
43031	530	530
43032	607	607
43033	561	561
43034	383	383
43036	384	384
43037	696	696
43038	406	406
43039	450	450
43040	443	443
43041	709	709
43042	553	553
43043	567	567
43044	584	584
43046	376	376
44001	991	991
44002	658	658
44003	364	364
44004	514	514
44005	654	654
44006	859	859
44007	400	400
44008	899	899
44009	650	650
44010	692	692
44011	726	726
44012	693	693
44013	555	555
44014	607	607
44015	600	600
44016	746	746
44017	840	840
44018	725	725
44019	787	787
44020	810	810
44021	787	787
44022	611	611
44023	633	633
44024	464	464
44025	667	667
44026	824	824
44027	760	760
44028	703	703
44029	768	768
44030	785	785
44031	581	581
44032	740	740
44033	715	715
44034	705	705
44035	727	727
44036	743	743
44037	730	730
44038	800	800
44039	697	697
44040	639	639
44041	876	876
46003	702	702
46005	817	817
46007	603	603
46009	678	678
46010	1082	1082
46011	574	574
46013	647	647
46015	636	636
46017	655	655
46018	696	696
46019	412	412
46024	773	773
46026	307	307
46027	797	797
46028	563	563
46029	451	451
46030	659	659
46031	652	652
46033	673	673
46034	774	774
46035	681	681
46036	574	574
46038	727	727
46039	564	564
47001	420	420
47002	588	588
47003	545	545
47004	740	740
47005	163	163
47006	745	745
47007	569	569
47008	596	596
47009	585	585
47011	627	627
47012	659	659
47013	597	597
47014	539	539
47016	575	575
47017	597	597
47018	570	570
47021	571	571
47024	672	672
47025	755	755
47027	526	526
47028	42	42
47029	699	699
47033	642	642
47035	588	588
47039	591	591
47040	568	568
47041	107	107
47043	548	548
47044	541	541
47046	599	599
47047	739	739
47048	31	31
