Precinct	total_votes	votes|Robert Peters
02002	370	370
02010	353	353
02011	532	532
02013	432	432
02018	504	504
02019	329	329
02023	326	326
02027	317	317
02029	386	386
02034	376	376
02042	252	252
03002	40	40
03004	609	609
03011	246	246
03012	212	212
03019	661	661
03021	189	189
03027	410	410
03030	459	459
03031	305	305
04001	816	816
04003	445	445
04004	709	709
04005	555	555
04006	181	181
04007	697	697
04008	603	603
04009	572	572
04010	703	703
04011	415	415
04012	710	710
04015	610	610
04018	523	523
04019	428	428
04022	517	517
04023	710	710
04024	521	521
04026	495	495
04027	750	750
04028	499	499
04029	540	540
04030	755	755
04031	486	486
04032	606	606
04033	534	534
04034	498	498
04035	633	633
04036	387	387
04038	421	421
05001	442	442
05003	540	540
05004	712	712
05005	463	463
05006	393	393
05007	510	510
05008	542	542
05009	628	628
05010	416	416
05011	504	504
05013	403	403
05014	387	387
05015	514	514
05016	472	472
05017	405	405
05018	505	505
05019	489	489
05020	555	555
05021	536	536
05022	605	605
05023	910	910
05024	660	660
05025	458	458
05026	466	466
05027	531	531
05028	496	496
05029	486	486
05030	231	231
05031	363	363
05032	564	564
05033	495	495
05034	562	562
05035	670	670
05036	312	312
05037	545	545
05038	426	426
05039	416	416
05040	373	373
05041	241	241
07001	359	359
07002	381	381
07003	395	395
07004	365	365
07005	325	325
07006	474	474
07007	351	351
07008	295	295
07009	609	609
07010	454	454
07011	409	409
07012	332	332
07013	222	222
07014	411	411
07015	380	380
07016	358	358
07017	288	288
07018	347	347
07019	361	361
07020	294	294
07021	291	291
07022	321	321
07023	363	363
07024	302	302
07025	295	295
07028	122	122
07030	51	51
07031	269	269
07032	248	248
07033	452	452
07034	460	460
07035	406	406
07037	343	343
07046	119	119
08001	51	51
08002	179	179
08021	37	37
08042	495	495
10001	300	300
10004	290	290
10006	323	323
10007	285	285
10008	187	187
10010	415	415
10011	505	505
10012	273	273
10014	464	464
10018	238	238
10019	382	382
10020	392	392
10021	385	385
10022	230	230
10023	313	313
10025	120	120
10026	298	298
10027	337	337
10028	449	449
10029	417	417
10030	375	375
10031	331	331
10032	391	391
10033	318	318
10034	260	260
10035	383	383
10036	96	96
20005	482	482
20009	587	587
20016	479	479
20022	547	547
20024	536	536
20026	381	381
20034	521	521
42001	454	454
42002	771	771
42004	1420	1420
42006	512	512
42007	674	674
42008	472	472
42011	359	359
42013	418	418
42019	243	243
42024	514	514
42026	978	978
42028	570	570
42029	687	687
42030	402	402
42031	701	701
42034	422	422
42035	756	756
42040	753	753
43035	561	561
