Precinct	total_votes	votes|Brian Burns	votes|Mike Quigley
01003	329	99	230
01004	285	70	215
01005	303	87	216
01006	245	80	165
01008	226	68	158
01010	317	105	212
01011	321	100	221
01014	227	73	154
01021	379	130	249
01028	81	30	51
01032	145	44	101
01033	324	94	230
01035	332	109	223
01036	311	91	220
01037	246	77	169
01038	55	21	34
01039	216	59	157
01040	278	93	185
02001	289	104	185
02003	320	116	204
02004	261	88	173
02005	323	112	211
02006	258	107	151
02007	215	76	139
02008	298	111	187
02012	117	27	90
02014	57	19	38
02015	270	75	195
02016	271	77	194
02017	10	1	9
02020	185	41	144
02021	279	75	204
02022	290	56	234
02024	216	43	173
02025	308	97	211
02026	215	61	154
02028	171	33	138
02030	216	42	174
02031	343	48	295
02033	417	82	335
02037	265	38	227
02038	53	6	47
02044	175	36	139
26028	152	44	108
26032	210	60	150
27007	330	100	230
27012	158	37	121
27013	74	21	53
27027	10	5	5
27035	10	4	6
27037	21	9	12
27040	11	2	9
27042	98	27	71
27043	7	1	6
27046	169	33	136
29023	71	25	46
29029	188	54	134
29031	137	43	94
29032	162	49	113
29038	1	1	0
29039	82	26	56
30015	210	41	169
30017	101	30	71
30021	152	60	92
32001	306	105	201
32002	307	70	237
32004	276	60	216
32005	304	75	229
32006	344	83	261
32007	313	101	212
32008	321	97	224
32009	275	69	206
32010	292	73	219
32013	263	68	195
32015	277	78	199
32016	275	88	187
32018	252	49	203
32019	257	61	196
32021	348	72	276
32023	305	80	225
32024	187	47	140
32025	270	59	211
32027	235	35	200
32029	335	84	251
32030	238	44	194
32031	287	77	210
32032	342	83	259
32033	287	82	205
32034	297	94	203
32035	251	64	187
32036	293	68	225
32037	294	111	183
32038	255	79	176
32039	283	46	237
32040	308	60	248
32041	294	64	230
32042	251	56	195
33002	451	131	320
33003	31	9	22
33005	267	81	186
33007	216	70	146
33008	333	52	281
33010	40	8	32
33018	404	145	259
33019	177	62	115
33023	26	8	18
33024	496	70	426
33027	8	4	4
36007	244	56	188
36014	187	47	140
36015	215	53	162
36016	138	35	103
36017	234	61	173
36018	206	56	150
36020	84	28	56
36024	188	65	123
36026	163	46	117
36028	180	64	116
36029	99	33	66
36030	184	51	133
38002	183	48	135
38003	170	49	121
38004	205	65	140
38005	178	49	129
38006	155	45	110
38007	165	53	112
38008	178	49	129
38009	207	53	154
38010	156	42	114
38011	177	38	139
38012	189	66	123
38013	224	54	170
38014	202	48	154
38015	195	47	148
38016	188	51	137
38017	228	51	177
38018	226	59	167
38019	230	52	178
38020	193	47	146
38021	185	53	132
38022	201	48	153
38023	238	61	177
38024	225	50	175
38025	195	56	139
38026	189	39	150
38027	189	45	144
38028	224	66	158
38029	209	52	157
38030	184	58	126
38031	262	68	194
38032	203	54	149
38033	183	41	142
38034	213	57	156
38035	43	8	35
38036	186	42	144
38037	217	55	162
38038	180	64	116
38039	269	68	201
38040	230	67	163
39001	241	65	176
39002	210	46	164
39003	325	76	249
39004	233	56	177
39005	255	58	197
39006	230	71	159
39007	213	43	170
39008	240	61	179
39009	188	49	139
39010	135	40	95
39011	213	55	158
39012	174	53	121
39013	176	39	137
39014	239	69	170
39015	241	47	194
39016	158	49	109
39017	259	47	212
39018	254	65	189
39019	254	67	187
39020	292	67	225
39021	216	67	149
39022	164	40	124
39023	262	71	191
39024	273	56	217
39025	173	52	121
39026	213	45	168
39027	51	8	43
39028	193	50	143
39029	156	50	106
39030	275	67	208
39032	180	50	130
39033	254	74	180
39034	265	93	172
39035	249	58	191
39036	59	9	50
39037	244	58	186
39038	167	30	137
39039	190	47	143
39040	231	51	180
39041	280	52	228
39042	277	69	208
39043	236	41	195
39044	193	45	148
39045	226	52	174
40001	224	74	150
40002	235	67	168
40003	376	89	287
40005	294	76	218
40006	415	113	302
40007	302	69	233
40008	412	112	300
40010	59	11	48
40011	345	87	258
40012	259	70	189
40013	542	164	378
40014	200	46	154
40015	228	56	172
40016	453	93	360
40017	256	50	206
40019	324	95	229
40020	218	47	171
40021	373	69	304
40023	414	109	305
40024	213	54	159
40025	331	85	246
40029	302	57	245
40030	252	44	208
40031	66	13	53
40032	369	64	305
40034	236	55	181
40038	432	113	319
41003	219	53	166
41006	337	98	239
41009	204	51	153
41011	84	20	64
41012	196	52	144
41014	315	75	240
41016	225	58	167
41017	185	45	140
41019	302	70	232
41021	239	63	176
41022	289	103	186
41023	93	26	67
41024	191	56	135
41026	241	55	186
41027	130	35	95
41030	191	45	146
41032	202	58	144
41033	170	47	123
41035	297	81	216
41038	203	51	152
41039	280	68	212
41045	99	32	67
41046	295	88	207
41047	289	74	215
43002	305	47	258
43003	303	57	246
43004	268	66	202
43005	219	34	185
43006	206	55	151
43007	204	36	168
43008	210	43	167
43009	257	43	214
43010	389	77	312
43011	219	55	164
43012	169	46	123
43013	250	54	196
43014	340	68	272
43015	286	63	223
43016	333	104	229
43017	209	39	170
43018	322	65	257
43019	320	59	261
43020	324	78	246
43021	300	74	226
43022	202	61	141
43023	194	37	157
43024	190	34	156
43025	279	49	230
43026	228	27	201
43027	286	57	229
43028	260	43	217
43029	363	90	273
43030	328	81	247
43031	284	80	204
43032	327	68	259
43034	188	41	147
43036	169	45	124
43037	266	91	175
43038	229	29	200
43039	210	65	145
43040	229	72	157
43041	401	85	316
43042	273	55	218
43043	285	43	242
43044	279	65	214
43046	163	39	124
44001	393	70	323
44002	298	56	242
44005	261	66	195
44006	424	117	307
