Precinct	total_votes	votes|Gilbert Villegas
36001	170	170
36002	199	199
36003	168	168
36004	166	166
36005	124	124
36006	152	152
36007	250	250
36008	142	142
36009	163	163
36010	224	224
36011	107	107
36012	103	103
36013	117	117
36014	192	192
36015	217	217
36016	183	183
36017	226	226
36018	202	202
36019	243	243
36020	185	185
36021	148	148
36022	132	132
36023	143	143
36024	219	219
36025	169	169
36026	151	151
36027	163	163
36028	179	179
36029	222	222
36030	193	193
