Precinct	total_votes	votes|Kimberly A. Lightford
28001	99	99
28012	132	132
28014	148	148
28031	232	232
28039	104	104
28041	112	112
28042	109	109
28043	172	172
29002	268	268
29003	229	229
29006	136	136
29008	164	164
29011	109	109
29014	210	210
29016	197	197
29018	189	189
29019	207	207
29020	212	212
29021	232	232
29022	175	175
29028	264	264
29034	154	154
29042	237	237
37001	157	157
37005	187	187
37006	187	187
37009	175	175
37010	216	216
37011	92	92
37014	176	176
37015	192	192
37016	189	189
37017	130	130
37020	136	136
37022	53	53
37023	179	179
37024	174	174
37025	164	164
37026	226	226
37027	159	159
37029	68	68
37030	144	144
37031	177	177
37032	149	149
37033	202	202
37034	168	168
37036	146	146
37038	203	203
37039	157	157
37040	192	192
37041	166	166
