Precinct	total_votes	votes|Edgar Gonzalez, Jr.
12002	157	157
12006	192	192
12007	196	196
12010	202	202
12011	215	215
12012	188	188
12013	26	26
12014	177	177
12015	167	167
12016	151	151
12017	114	114
12018	140	140
12020	184	184
12022	193	193
14001	24	24
15006	167	167
15009	4	4
15010	116	116
15011	84	84
15012	20	20
22004	111	111
22005	3	3
22007	103	103
22010	231	231
22013	103	103
22014	159	159
22015	99	99
22016	127	127
22017	34	34
22018	65	65
22019	1	1
22022	147	147
23001	51	51
23012	148	148
23016	149	149
23021	174	174
23027	149	149
23036	128	128
23037	106	106
24016	344	344
