Precinct	total_votes	votes|Jacob Meister	votes|Iris Y. Martinez	votes|Richard R. Boykin	votes|Michael M. Cabonargi
06032	222	14	44	118	46
06033	235	14	36	141	44
06034	239	17	66	105	51
06035	243	15	53	118	57
06036	298	17	44	172	65
06037	292	16	47	162	67
06038	274	6	59	151	58
06039	179	22	39	80	38
06040	194	8	35	120	31
06041	253	11	42	141	59
06042	208	23	49	98	38
06043	204	14	34	112	44
06044	238	27	45	120	46
06045	269	18	55	135	61
06046	167	14	36	85	32
06047	169	25	29	86	29
06048	209	11	45	115	38
07001	212	14	50	105	43
07002	194	15	48	89	42
07003	245	20	49	132	44
07004	220	17	44	119	40
07005	192	15	41	94	42
07006	291	22	71	124	74
07007	185	23	46	75	41
07008	131	12	30	61	28
07009	386	32	70	201	83
07010	247	16	63	130	38
07011	206	23	56	98	29
07012	188	18	51	87	32
07013	153	5	35	88	25
07014	208	12	47	113	36
07015	218	11	44	118	45
07016	147	19	32	76	20
07017	183	16	43	84	40
07018	154	18	27	88	21
07019	177	19	30	90	38
07020	143	7	42	64	30
07021	140	16	46	53	25
07022	172	6	62	70	34
07023	233	15	52	119	47
07024	154	15	40	67	32
07025	168	17	62	61	28
07026	182	9	32	97	44
07027	175	17	40	85	33
07028	131	10	29	64	28
07029	179	7	32	90	50
07030	138	12	40	61	25
07031	136	15	39	58	24
07032	325	14	55	187	69
07033	321	16	77	176	52
07034	290	18	61	159	52
07035	236	16	51	122	47
07036	280	17	57	139	67
07037	226	15	43	123	45
07038	173	12	30	94	37
07039	198	3	41	116	38
07040	210	17	35	100	58
07041	210	12	36	113	49
07042	193	12	40	102	39
07043	197	18	48	83	48
07044	184	13	45	87	39
07045	186	10	36	103	37
07046	99	10	21	47	21
08001	163	12	34	74	43
08002	168	15	40	78	35
08003	306	14	49	162	81
08004	294	6	37	186	65
08005	289	10	33	188	58
08006	258	18	33	122	85
08007	286	13	56	150	67
08008	261	11	49	139	62
08009	171	10	37	76	48
08010	345	22	63	182	78
08011	150	7	29	81	33
08012	215	9	51	116	39
08013	244	16	67	110	51
08014	165	14	35	81	35
08015	209	23	46	97	43
08016	72	5	10	27	30
08017	210	11	32	111	56
08018	147	14	32	75	26
08019	292	17	42	174	59
08020	272	8	49	153	62
08021	285	17	55	133	80
08022	225	18	34	113	60
08023	175	18	22	79	56
08024	158	11	40	78	29
08025	208	20	47	102	39
08026	157	10	29	72	46
08027	282	22	52	138	70
08028	230	20	46	115	49
08029	247	12	42	131	62
08030	251	14	57	125	55
08031	178	6	43	97	32
08032	200	22	35	85	58
08033	173	16	31	79	47
08034	241	14	39	120	68
