Precinct	total_votes	votes|Howard B. Brookins, Jr.
21001	236	236
21002	143	143
21003	223	223
21004	177	177
21005	238	238
21006	185	185
21007	212	212
21008	207	207
21009	243	243
21010	191	191
21011	201	201
21012	179	179
21013	196	196
21014	232	232
21015	189	189
21016	168	168
21017	151	151
21018	237	237
21019	227	227
21020	172	172
21021	167	167
21022	178	178
21023	196	196
21024	238	238
21025	185	185
21026	159	159
21027	207	207
21028	249	249
21029	259	259
21030	153	153
21031	154	154
21032	192	192
21033	193	193
21034	175	175
21035	253	253
21036	209	209
21037	142	142
21038	180	180
21039	167	167
21040	188	188
21041	213	213
21042	240	240
21043	184	184
21044	236	236
21045	171	171
21046	227	227
21047	171	171
21048	192	192
21049	237	237
21050	144	144
21051	209	209
21052	195	195
21053	179	179
21054	183	183
