Precinct	total_votes	votes|Kelly M. Cassidy
40028	333	333
40037	1	1
48001	365	365
48002	165	165
48003	357	357
48005	207	207
48006	387	387
48007	354	354
48008	165	165
48009	212	212
48010	514	514
48011	310	310
48012	438	438
48013	385	385
48014	147	147
48015	184	184
48016	318	318
48018	200	200
48019	287	287
48020	140	140
48021	8	8
48022	272	272
48025	320	320
48026	136	136
48027	301	301
48028	298	298
48029	79	79
48030	340	340
48031	361	361
48032	346	346
48033	177	177
48034	295	295
48036	196	196
48037	351	351
48038	314	314
48039	211	211
48040	317	317
48041	410	410
48042	413	413
48043	377	377
48044	440	440
48045	258	258
48046	213	213
49001	174	174
49002	219	219
49003	332	332
49004	453	453
49005	304	304
49006	290	290
49007	286	286
49008	218	218
49009	343	343
49010	331	331
49011	381	381
49012	426	426
49013	343	343
49014	216	216
49015	182	182
49016	278	278
49017	223	223
49018	454	454
49019	267	267
49020	493	493
49021	150	150
49022	298	298
49023	444	444
49024	179	179
49025	316	316
49026	389	389
49027	327	327
49028	451	451
49029	398	398
49030	288	288
49031	229	229
49032	292	292
49033	222	222
50008	170	170
50028	0	0
