Precinct	total_votes	votes|Bobby L. Rush	votes|Philanise White
21045	431	422	9
21046	477	466	11
21047	421	408	13
21048	445	429	16
21049	487	473	14
21050	326	316	10
21051	449	437	12
21052	460	448	12
21053	365	347	18
21054	389	384	5
34001	479	474	5
34002	327	312	15
34003	456	442	14
34005	409	397	12
34006	505	481	24
34007	488	474	14
34008	386	375	11
34009	314	296	18
34010	458	442	16
34011	398	386	12
34012	475	456	19
34013	456	433	23
34014	366	356	10
34015	426	415	11
34016	406	394	12
34017	553	538	15
34019	508	489	19
34020	489	470	19
34021	507	495	12
34022	118	116	2
34025	670	651	19
34026	510	504	6
34029	373	360	13
34030	157	147	10
34031	368	359	9
34032	446	437	9
34033	381	375	6
34034	504	496	8
34035	549	527	22
34040	506	499	7
34041	42	41	1
34042	429	417	12
34043	394	384	10
34044	431	423	8
34045	449	436	13
34046	303	295	8
34047	409	403	6
34048	447	435	12
34049	415	406	9
34050	372	361	11
34051	475	456	19
34052	335	326	9
