Precinct	total_votes	votes|Abdelnasser Rashid	votes|Tammy Wendt
19001	221	74	147
19002	248	150	98
19003	174	38	136
19004	258	80	178
19006	116	46	70
19008	220	62	158
19009	188	64	124
19011	213	64	149
19012	202	48	154
19015	254	79	175
19016	242	71	171
19019	294	162	132
19021	174	63	111
19022	295	149	146
19024	184	49	135
19029	90	30	60
19030	208	62	146
19033	240	68	172
19039	85	26	59
19041	189	54	135
19044	256	71	185
19045	248	96	152
19047	404	203	201
19051	291	104	187
19053	231	99	132
19054	177	48	129
19055	187	47	140
41003	182	100	82
41005	225	103	122
41007	186	75	111
41008	208	77	131
41011	187	72	115
41013	202	81	121
41015	235	104	131
41016	105	47	58
41017	195	90	105
41018	179	76	103
41020	143	60	83
41021	199	87	112
41022	241	115	126
41023	178	79	99
41025	112	62	50
41026	211	93	118
41027	76	25	51
41028	149	78	71
41029	98	43	55
41030	169	62	107
41031	212	90	122
41033	173	76	97
41034	181	80	101
41035	222	87	135
41036	200	97	103
41037	226	88	138
41038	175	74	101
41041	167	51	116
41043	199	88	111
41045	199	83	116
41046	248	123	125
45045	121	51	70
45046	123	51	72
45047	124	50	74
45048	130	54	76
