Precinct	total_votes	votes|Sonya Marie Harper
03001	44	44
03003	153	153
03005	150	150
03010	106	106
03013	292	292
03018	142	142
03026	280	280
03029	19	19
03036	27	27
03041	153	153
04013	294	294
04016	76	76
04017	308	308
04020	246	246
04021	269	269
04037	431	431
06015	113	113
06018	16	16
06028	46	46
11012	250	250
11013	203	203
11021	280	280
11024	300	300
11028	75	75
11029	247	247
11031	186	186
11032	80	80
11034	69	69
11035	39	39
15001	146	146
15002	102	102
15003	103	103
15005	27	27
15007	59	59
15013	44	44
15014	11	11
15017	118	118
15018	75	75
15020	113	113
15021	112	112
15022	6	6
15023	104	104
15024	75	75
16002	94	94
16003	123	123
16004	122	122
16005	83	83
16006	53	53
16008	75	75
16009	132	132
16010	108	108
16012	108	108
16014	90	90
16015	139	139
16017	28	28
16018	95	95
16019	126	126
16020	99	99
16021	115	115
16022	107	107
16025	139	139
16026	96	96
16027	97	97
16028	113	113
16030	28	28
16031	134	134
16033	33	33
16034	132	132
16036	88	88
17001	0	0
17006	146	146
17008	97	97
17016	12	12
17017	17	17
17025	125	125
18050	62	62
20002	38	38
20004	72	72
20006	65	65
20013	175	175
20015	148	148
20017	102	102
20020	79	79
20021	121	121
20025	102	102
20027	73	73
20029	183	183
20032	127	127
20036	44	44
20038	44	44
20039	5	5
25014	0	0
25021	307	307
25027	76	76
42005	187	187
42009	300	300
42010	94	94
42012	95	95
42014	79	79
42015	172	172
42017	229	229
42018	191	191
42021	151	151
42033	0	0
42036	175	175
42037	146	146
42038	186	186
42041	183	183
