Precinct	total_votes	votes|Janice D. Schakowsky
40004	127	127
40009	179	179
40010	184	184
40018	179	179
40022	348	348
40025	67	67
40026	376	376
40027	373	373
40028	321	321
40031	291	291
40033	336	336
40035	123	123
40036	275	275
40037	274	274
40039	63	63
41001	169	169
41002	188	188
41004	201	201
41005	243	243
41007	197	197
41008	203	203
41010	247	247
41011	127	127
41013	178	178
41015	235	235
41017	37	37
41018	193	193
41020	144	144
41023	83	83
41025	105	105
41028	143	143
41029	99	99
41031	218	218
41033	28	28
41034	177	177
41036	191	191
41037	219	219
41040	180	180
41041	179	179
41042	179	179
41043	192	192
41044	191	191
41045	107	107
44003	227	227
44004	221	221
44007	226	226
44024	237	237
44035	278	278
46001	240	240
46002	297	297
46004	320	320
46005	7	7
46006	264	264
46007	357	357
46008	201	201
46009	385	385
46011	262	262
46012	311	311
46013	303	303
46014	207	207
46015	332	332
46016	223	223
46017	379	379
46018	358	358
46020	234	234
46021	169	169
46022	243	243
46023	254	254
46024	305	305
46025	283	283
46026	401	401
46027	397	397
46029	221	221
46032	278	278
46034	349	349
46035	265	265
46037	217	217
46038	150	150
46040	298	298
47015	457	457
47019	502	502
47023	449	449
47030	220	220
48001	360	360
48002	174	174
48003	356	356
48004	329	329
48005	212	212
48006	378	378
48007	361	361
48008	169	169
48009	215	215
48010	520	520
48011	318	318
48012	433	433
48013	397	397
48014	152	152
48015	184	184
48016	328	328
48017	281	281
48018	203	203
48019	282	282
48020	416	416
48021	376	376
48022	289	289
48023	320	320
48024	306	306
48025	316	316
48026	143	143
48027	306	306
48028	294	294
48029	85	85
48030	349	349
48031	365	365
48032	339	339
48033	188	188
48034	292	292
48035	182	182
48036	204	204
48037	347	347
48038	393	393
48039	211	211
48040	322	322
48041	414	414
48042	402	402
48043	382	382
48044	449	449
48045	253	253
48046	223	223
49001	176	176
49002	216	216
49003	328	328
49004	442	442
49005	302	302
49006	290	290
49007	280	280
49008	220	220
49009	337	337
49010	329	329
49011	380	380
49012	426	426
49013	345	345
49014	227	227
49015	189	189
49016	291	291
49017	213	213
49018	453	453
49019	268	268
49020	489	489
49021	156	156
49022	306	306
49023	432	432
49024	181	181
49025	330	330
49026	388	388
49027	327	327
49028	452	452
49029	397	397
49030	285	285
49031	241	241
49032	291	291
49033	224	224
50001	219	219
50002	144	144
50003	190	190
50004	217	217
50005	119	119
50006	224	224
50007	304	304
50008	202	202
50009	177	177
50010	169	169
50011	121	121
50012	83	83
50013	210	210
50014	73	73
50015	334	334
50016	66	66
50017	169	169
50018	30	30
50019	122	122
50020	225	225
50021	203	203
50022	139	139
50023	112	112
50025	156	156
50026	154	154
50027	55	55
50028	188	188
50029	132	132
50030	140	140
50031	238	238
50032	193	193
50033	166	166
50034	311	311
50035	304	304
50036	233	233
50037	256	256
50038	88	88
50039	99	99
50040	169	169
