Precinct	total_votes	votes|Jaime M. Andrade, Jr.
01041	24	24
01042	34	34
30003	358	358
30007	6	6
30008	549	549
30015	431	431
30018	341	341
30022	684	684
30023	35	35
30024	519	519
30025	291	291
30028	476	476
30032	393	393
32001	225	225
32003	322	322
32017	566	566
32026	303	303
32028	252	252
32043	502	502
33001	627	627
33002	428	428
33003	702	702
33004	795	795
33005	455	455
33006	557	557
33007	503	503
33009	674	674
33011	626	626
33012	634	634
33013	591	591
33014	287	287
33015	639	639
33016	834	834
33017	630	630
33018	615	615
33019	739	739
33020	685	685
33021	660	660
33022	574	574
33025	724	724
33026	468	468
33027	676	676
33028	535	535
35001	532	532
35004	506	506
35005	433	433
35006	538	538
35009	446	446
35020	527	527
35022	615	615
35023	531	531
35024	462	462
35026	430	430
35027	485	485
35029	481	481
35030	492	492
35031	550	550
39003	529	529
39006	5	5
39012	351	351
39025	344	344
39028	601	601
39031	368	368
39034	549	549
45001	420	420
45002	502	502
45003	470	470
45004	582	582
45005	530	530
45006	656	656
45007	712	712
45008	39	39
