Precinct	total_votes	votes|Danny K. Davis	votes|Kina Collins	votes|Anthony Clark	votes|Kristine Schanbacher
17036	33	28	3	2	0
20002	64	51	6	4	3
20004	41	34	5	2	0
20006	98	80	7	6	5
20011	103	68	12	16	7
20015	102	50	22	18	12
20017	132	73	26	22	11
20020	93	51	19	14	9
20021	153	111	21	9	12
20025	150	112	17	12	9
20027	29	23	0	5	1
20030	63	53	6	3	1
20031	161	124	21	15	1
20032	177	141	22	11	3
20036	56	47	5	3	1
20037	2	1	1	0	0
20038	71	56	6	9	0
20039	14	13	0	0	1
22014	110	56	20	22	12
22015	5	2	1	2	0
22019	93	63	12	14	4
22021	217	191	17	9	0
23017	48	18	9	11	10
23019	66	28	13	13	12
23031	34	14	4	6	10
24001	188	146	30	11	1
24002	170	144	17	9	0
24003	189	144	30	12	3
24004	144	121	13	8	2
24005	108	92	12	4	0
24006	219	187	22	9	1
24007	108	40	23	32	13
24008	91	81	7	2	1
24009	173	140	19	8	6
24010	91	75	7	8	1
24011	204	175	24	4	1
24012	89	70	8	8	3
24013	89	71	15	2	1
24014	161	134	18	8	1
24015	81	70	9	2	0
24016	284	131	67	60	26
24017	154	136	13	5	0
24018	214	184	19	9	2
24019	240	201	26	12	1
24020	152	140	6	5	1
24021	97	79	10	8	0
24022	245	214	20	6	5
24023	139	114	15	7	3
24024	223	191	14	14	4
24025	148	130	12	2	4
24026	305	261	31	10	3
24027	209	176	20	13	0
24028	156	127	17	9	3
24029	158	133	17	5	3
24030	120	103	10	7	0
24031	214	183	18	11	2
24032	110	97	5	6	2
24033	125	105	14	6	0
24034	192	168	12	5	7
24035	174	142	18	13	1
24036	239	194	19	19	7
24037	119	99	13	4	3
24038	182	141	18	21	2
24039	199	144	20	22	13
24040	204	165	29	9	1
24041	149	130	10	8	1
25003	310	112	62	62	74
25004	192	117	28	33	14
25006	89	59	6	10	14
25010	277	120	34	42	81
25014	161	75	30	25	31
25016	292	103	52	51	86
25018	145	86	15	29	15
25020	158	118	20	14	6
25021	366	150	66	69	81
25025	229	106	36	35	52
25027	263	106	56	37	64
25029	233	156	41	21	15
25031	349	145	58	71	75
26001	116	38	24	34	20
26003	235	60	52	81	42
26004	133	69	26	26	12
26010	123	50	25	35	13
26017	164	64	25	35	40
26019	125	81	22	16	6
26021	240	101	46	67	26
26027	105	28	27	28	22
26028	117	46	28	21	22
26033	239	82	56	73	28
26036	180	47	40	74	19
26039	131	38	31	40	22
26045	69	33	19	9	8
26046	141	59	23	38	21
27001	319	147	52	62	58
27002	213	131	23	23	36
27003	141	103	18	20	0
27004	133	84	18	22	9
27005	187	136	24	17	10
27006	253	144	33	32	44
27008	175	143	11	17	4
27009	115	62	15	12	26
27010	282	226	33	13	10
27011	191	80	34	25	52
27013	290	215	48	20	7
27014	96	84	6	4	2
27015	130	109	11	9	1
27016	195	90	36	28	41
27017	242	167	24	31	20
27018	180	135	27	9	9
27019	113	75	10	22	6
27020	152	106	34	8	4
27021	212	103	31	15	63
27022	126	104	11	8	3
27023	194	159	22	11	2
27024	130	80	32	16	2
27025	244	145	45	33	21
27026	185	139	15	22	9
27027	263	175	40	33	15
27028	195	105	29	22	39
27029	138	83	36	14	5
