Precinct	total_votes	votes|Jacqueline ''Jacqui'' Collins
06004	309	309
06005	289	289
06006	487	487
06007	406	406
06009	417	417
06010	289	289
06011	363	363
06012	322	322
06015	229	229
06017	280	280
06018	291	291
06019	287	287
06020	275	275
06021	212	212
06022	245	245
06023	232	232
06024	224	224
06025	213	213
06026	312	312
06027	249	249
06028	143	143
06030	346	346
06032	412	412
06033	406	406
06040	364	364
06047	307	307
06048	407	407
08026	0	0
15007	128	128
15022	203	203
16006	136	136
16016	260	260
16024	154	154
16029	247	247
16030	220	220
16033	213	213
17001	178	178
17002	356	356
17003	356	356
17004	389	389
17005	268	268
17008	214	214
17009	279	279
17010	467	467
17011	267	267
17013	297	297
17015	376	376
17017	365	365
17018	380	380
17019	231	231
17020	423	423
17021	76	76
17022	340	340
17023	227	227
17024	353	353
17026	348	348
17027	332	332
17028	289	289
17029	330	330
17030	243	243
17031	230	230
17032	273	273
17033	201	201
17034	252	252
17035	257	257
17036	327	327
17037	294	294
17038	376	376
17039	356	356
17040	384	384
17041	451	451
18001	390	390
18002	456	456
18003	338	338
18004	417	417
18005	240	240
18006	347	347
18007	396	396
18008	398	398
18009	158	158
18010	499	499
18011	378	378
18012	358	358
18013	433	433
18014	397	397
18015	11	11
18016	389	389
18017	417	417
18018	284	284
18019	328	328
18020	265	265
18021	497	497
18022	420	420
18023	402	402
18024	367	367
18025	406	406
18026	369	369
18027	342	342
18028	346	346
18029	463	463
18030	454	454
18031	441	441
18032	24	24
18033	306	306
18035	446	446
18036	406	406
18037	452	452
18038	352	352
18039	357	357
18040	414	414
18041	465	465
18042	367	367
18043	40	40
18044	348	348
18045	414	414
18046	188	188
18047	322	322
18048	299	299
18049	277	277
18050	197	197
20008	134	134
20028	263	263
21002	115	115
21004	363	363
21013	51	51
21015	268	268
21017	47	47
21020	218	218
21026	345	345
21028	454	454
21030	339	339
21034	202	202
21043	349	349
21044	128	128
21047	338	338
21051	403	403
21052	329	329
21053	181	181
21054	319	319
