Precinct	total_votes	votes|André Thapedi
06004	228	228
06005	205	205
06006	450	450
06007	336	336
06009	373	373
06011	329	329
06012	242	242
06015	173	173
06018	212	212
06019	158	158
06021	160	160
06022	63	63
06023	186	186
06024	166	166
06026	217	217
06028	113	113
06030	287	287
06032	386	386
06033	358	358
06040	306	306
06047	258	258
06048	354	354
08026	0	0
15007	109	109
15022	165	165
16006	109	109
16016	221	221
16024	122	122
16029	193	193
16030	156	156
16033	174	174
17001	148	148
17003	321	321
17008	163	163
17011	53	53
17013	229	229
17017	301	301
17019	181	181
17030	228	228
17031	191	191
17032	71	71
17033	189	189
17034	69	69
17035	222	222
17036	271	271
17037	50	50
18001	361	361
18002	395	395
18003	301	301
18005	214	214
18006	214	214
18011	333	333
18012	120	120
18015	10	10
18017	388	388
18021	294	294
18023	369	369
18024	349	349
18025	397	397
18027	315	315
18028	334	334
18029	420	420
18030	430	430
18031	399	399
18033	248	248
18039	313	313
18040	397	397
18042	312	312
18043	41	41
18044	321	321
18045	373	373
18046	177	177
18047	283	283
18048	265	265
18049	240	240
18050	165	165
20008	96	96
20028	218	218
