Precinct	total_votes	votes|Roderick T. Sawyer
06001	272	272
06002	283	283
06003	255	255
06004	149	149
06005	118	118
06006	249	249
06007	196	196
06008	241	241
06009	173	173
06010	120	120
06011	185	185
06012	143	143
06013	167	167
06014	199	199
06015	150	150
06016	274	274
06017	122	122
06018	167	167
06019	155	155
06020	118	118
06021	89	89
06022	119	119
06023	78	78
06024	102	102
06025	91	91
06026	126	126
06027	106	106
06028	93	93
06029	237	237
06030	156	156
06031	246	246
06032	206	206
06033	211	211
06034	232	232
06035	217	217
06036	275	275
06037	257	257
06038	258	258
06039	158	158
06040	187	187
06041	243	243
06042	192	192
06043	194	194
06044	245	245
06045	258	258
06046	151	151
06047	155	155
06048	206	206
