Precinct	total_votes	votes|Ram Villivalam
39001	199	199
39002	140	140
39003	256	256
39004	187	187
39005	221	221
39006	203	203
39007	181	181
39008	196	196
39009	158	158
39010	112	112
39011	179	179
39012	244	244
39013	133	133
39014	200	200
39015	187	187
39016	118	118
39017	218	218
39018	213	213
39019	212	212
39020	217	217
39021	152	152
39022	134	134
39023	185	185
39024	172	172
39025	151	151
39026	169	169
39027	38	38
39028	269	269
39029	130	130
39030	234	234
39031	187	187
39032	154	154
39033	211	211
39034	218	218
39035	206	206
39036	58	58
39037	183	183
39038	126	126
39039	155	155
39040	189	189
39041	224	224
39042	207	207
39043	186	186
39044	152	152
39045	181	181
