Precinct	total_votes	votes|Theresa Mah
11001	468	468
11003	497	497
11004	395	395
11005	614	614
11008	451	451
11009	398	398
11010	462	462
11011	492	492
11014	259	259
11015	188	188
11016	321	321
11017	562	562
11018	365	365
11019	618	618
11020	307	307
11022	565	565
11023	257	257
11025	565	565
11026	470	470
11027	188	188
11030	245	245
11036	217	217
11037	166	166
11038	254	254
12001	407	407
12003	504	504
12004	473	473
12005	384	384
12006	21	21
12008	410	410
12009	338	338
12013	344	344
12017	198	198
12019	398	398
12021	446	446
12023	425	425
15005	290	290
15009	395	395
15013	281	281
15014	280	280
15015	314	314
20020	0	0
25001	368	368
25002	608	608
25005	494	494
25006	184	184
25007	518	518
25008	571	571
25009	487	487
25011	518	518
25012	483	483
25013	583	583
25014	398	398
25015	404	404
25017	537	537
25018	293	293
25019	516	516
25022	510	510
25023	581	581
25024	512	512
25026	494	494
25027	55	55
25028	525	525
25030	484	484
25032	414	414
28019	2	2
