Precinct	total_votes	votes|Lucy Moog
43001	108	108
43002	231	231
43003	245	245
43004	212	212
43005	206	206
43006	167	167
43007	146	146
43008	162	162
43009	235	235
43010	285	285
43011	166	166
43012	127	127
43013	195	195
43014	250	250
43015	233	233
43016	259	259
43017	162	162
43018	239	239
43019	230	230
43020	268	268
43021	233	233
43022	165	165
43023	148	148
43024	144	144
43025	196	196
43026	172	172
43027	229	229
43028	196	196
43029	274	274
43030	280	280
43031	223	223
43032	246	246
43033	230	230
43034	139	139
43035	209	209
43036	126	126
43037	216	216
43038	164	164
43039	162	162
43040	185	185
43041	302	302
43042	205	205
43043	230	230
43044	219	219
43045	155	155
43046	125	125
