Precinct	total_votes	votes|Yes	votes|No
08048	395	383	12
08049	400	383	17
08050	435	426	9
08051	418	406	12
08052	530	517	13
08053	263	258	5
08054	364	344	20
08055	353	341	12
08056	448	428	20
09001	396	385	11
09002	335	325	10
09003	271	258	13
09004	324	314	10
09005	403	393	10
09006	379	357	22
09007	312	295	17
09008	440	419	21
09009	480	466	14
09010	324	307	17
09011	291	269	22
09012	468	454	14
09013	465	455	10
09014	465	448	17
09015	445	410	35
09016	397	382	15
09017	302	291	11
09018	287	271	16
09019	411	400	11
09020	373	353	20
09021	376	357	19
09022	451	432	19
09023	460	444	16
09024	402	386	16
09025	358	347	11
09026	378	361	17
09027	333	324	9
09028	265	249	16
09029	359	341	18
09030	356	342	14
09031	340	317	23
09032	415	393	22
09033	305	291	14
09034	338	321	17
09035	382	367	15
09036	343	328	15
09037	627	574	53
09038	391	377	14
09039	429	403	26
09040	446	429	17
09041	339	326	13
09042	434	421	13
09043	372	350	22
09044	368	347	21
09045	300	289	11
09046	385	363	22
09047	433	423	10
09048	427	417	10
09049	451	427	24
09050	572	551	21
09051	403	392	11
10001	343	320	23
10002	466	389	77
10003	490	409	81
10004	350	339	11
10005	381	324	57
10006	382	334	48
10007	328	296	32
10008	225	208	17
10009	444	362	82
10010	501	442	59
10011	579	532	47
10012	326	306	20
10013	397	361	36
10014	581	521	60
10015	763	730	33
10016	367	322	45
10017	613	509	104
10018	261	244	17
10019	478	414	64
10020	485	436	49
10021	463	418	45
10022	264	247	17
10023	399	376	23
10024	453	370	83
10025	133	125	8
10026	320	300	20
10027	379	351	28
10028	518	476	42
10029	473	438	35
10030	391	368	23
10031	380	363	17
10032	479	430	49
10033	352	328	24
10034	313	294	19
10035	488	411	77
10036	106	100	6
11001	535	463	72
11002	39	35	4
11003	571	530	41
11004	429	382	47
11005	726	657	69
11006	883	786	97
11007	532	485	47
11008	515	446	69
11009	484	420	64
11010	543	468	75
11011	627	544	83
11012	713	507	206
11013	667	480	187
11014	314	262	52
11015	216	191	25
11016	401	343	58
11017	663	566	97
11018	455	378	77
11019	739	656	83
11020	401	333	68
11021	649	486	163
11022	691	587	104
11023	304	237	67
11024	600	460	140
11025	696	603	93
11026	583	489	94
11027	228	209	19
11028	263	208	55
11029	666	509	157
11030	313	261	52
11031	552	418	134
11032	251	190	61
11033	733	644	89
11034	177	139	38
11035	117	100	17
11036	267	232	35
11037	179	165	14
11038	289	268	21
12001	469	433	36
12002	412	385	27
12003	586	525	61
12004	548	500	48
12005	452	398	54
12006	578	528	50
12007	449	428	21
12008	502	448	54
12009	408	367	41
12010	621	597	24
12011	522	485	37
12012	481	433	48
12013	538	494	44
12014	399	385	14
12015	433	403	30
12016	415	393	22
12017	555	521	34
12018	422	402	20
12019	469	436	33
12020	567	530	37
12021	510	476	34
12022	451	425	26
12023	505	466	39
13001	409	327	82
13002	338	242	96
13003	350	321	29
13004	471	359	112
13005	509	452	57
13006	396	273	123
13007	359	321	38
13008	322	255	67
13009	452	404	48
13010	358	230	128
13011	456	361	95
13012	396	348	48
13013	400	358	42
13014	417	359	58
13015	584	524	60
13016	311	287	24
13017	366	291	75
13018	351	266	85
13019	537	493	44
13020	296	216	80
13021	490	336	154
13022	476	347	129
13023	350	316	34
13024	413	355	58
13025	424	376	48
13026	418	342	76
13027	391	316	75
13028	327	296	31
13029	345	294	51
13030	330	301	29
13031	473	344	129
13032	373	267	106
13033	402	313	89
13034	412	387	25
13035	363	327	36
13036	303	279	24
13037	414	373	41
13038	364	252	112
13039	388	354	34
13040	408	353	55
13041	482	449	33
13042	444	288	156
13043	398	338	60
13044	413	377	36
13045	429	340	89
13046	483	428	55
13047	464	428	36
13048	365	274	91
14001	504	346	158
14002	627	589	38
14003	451	425	26
14004	486	324	162
14005	647	609	38
14006	247	234	13
14007	596	535	61
14008	564	515	49
14009	597	455	142
14010	330	296	34
14011	277	264	13
14012	486	430	56
14013	428	392	36
14014	434	414	20
14015	472	443	29
14016	343	311	32
14017	405	378	27
14018	223	186	37
14019	435	415	20
14020	365	344	21
14021	446	423	23
14022	653	573	80
14023	335	293	42
14024	544	404	140
14025	255	243	12
14026	354	341	13
14027	456	406	50
14028	385	351	34
14029	350	328	22
14030	311	293	18
14031	254	244	10
15001	385	365	20
15002	242	231	11
15003	257	243	14
15004	454	439	15
15005	414	382	32
15006	471	445	26
15007	248	232	16
15008	445	413	32
15009	603	576	27
15010	607	561	46
15011	536	493	43
15012	549	504	45
15013	442	424	18
15014	391	371	20
15015	394	365	29
15016	501	470	31
15017	247	231	16
15018	190	181	9
15019	383	366	17
15020	258	243	15
15021	212	195	17
15022	249	232	17
15023	265	251	14
15024	252	240	12
16001	551	533	18
16002	312	283	29
16003	286	275	11
16004	364	341	23
16005	242	223	19
16006	299	288	11
16007	338	323	15
16008	227	215	12
16009	321	311	10
16010	273	260	13
16011	338	325	13
16012	299	282	17
16013	405	387	18
16014	251	242	9
16015	314	298	16
16016	268	255	13
16017	452	436	16
16018	397	385	12
16019	322	306	16
16020	234	216	18
16021	275	262	13
16022	265	252	13
16023	455	434	21
16024	156	146	10
16025	377	362	15
16026	224	211	13
16027	243	230	13
16028	273	259	14
16029	262	252	10
16030	242	224	18
16031	312	292	20
16032	445	412	33
16033	250	243	7
16034	272	247	25
16035	495	463	32
16036	218	210	8
17001	447	416	31
17002	381	369	12
17003	386	367	19
17004	445	422	23
17005	299	286	13
17006	412	394	18
17007	408	389	19
17008	283	269	14
17009	297	286	11
17010	508	488	20
17011	296	281	15
17012	570	528	42
17013	298	284	14
17014	443	425	18
17015	397	387	10
17016	472	452	20
17017	411	385	26
17018	442	430	12
17019	235	219	16
17020	475	462	13
17021	455	438	17
17022	364	344	20
17023	254	242	12
17024	299	289	10
17025	309	298	11
17026	385	372	13
17027	232	225	7
17028	300	288	12
17029	380	358	22
17030	393	365	28
17031	233	222	11
17032	307	295	12
17033	212	193	19
17034	265	253	12
17035	266	264	2
17036	257	244	13
17037	310	296	14
17038	418	403	15
17039	399	384	15
17040	415	400	15
17041	513	500	13
18001	426	407	19
18002	499	460	39
18003	405	338	67
18004	462	440	22
18005	263	250	13
18006	416	352	64
18007	454	407	47
18008	426	398	28
18009	412	393	19
18010	542	517	25
18011	413	381	32
18012	411	394	17
18013	479	446	33
18014	443	432	11
18015	499	452	47
18016	406	385	21
18017	451	418	33
18018	334	328	6
18019	375	356	19
18020	309	300	9
18021	554	533	21
18022	464	450	14
18023	433	408	25
18024	441	387	54
18025	473	406	67
18026	523	499	24
18027	378	358	20
18028	436	349	87
18029	503	477	26
18030	554	494	60
18031	462	433	29
18032	434	419	15
18033	322	310	12
18034	485	459	26
18035	492	472	20
18036	479	434	45
18037	490	477	13
18038	401	386	15
18039	374	349	25
18040	492	441	51
18041	516	488	28
18042	394	364	30
18043	385	337	48
18044	413	333	80
18045	463	427	36
18046	506	429	77
18047	334	302	32
18048	310	293	17
18049	300	281	19
18050	336	308	28
19001	447	287	160
19002	656	586	70
19003	436	217	219
19004	607	345	262
19005	566	488	78
19006	564	348	216
19007	463	338	125
19008	581	313	268
19009	365	237	128
19010	617	545	72
19011	502	269	233
19012	439	229	210
19013	581	547	34
19014	545	475	70
19015	695	428	267
19016	513	298	215
19017	431	279	152
19018	495	400	95
