Precinct	total_votes	votes|Lamont J. Robinson
02027	121	121
02029	205	205
02032	472	472
02036	608	608
02038	304	304
02039	330	330
02040	803	803
02041	450	450
02042	374	374
02043	723	723
02045	669	669
03001	559	559
03002	525	525
03003	7	7
03006	755	755
03007	321	321
03008	412	412
03009	608	608
03011	337	337
03012	290	290
03014	643	643
03015	507	507
03016	436	436
03017	839	839
03018	283	283
03020	573	573
03021	376	376
03022	752	752
03023	433	433
03024	448	448
03025	916	916
03027	280	280
03028	303	303
03029	483	483
03031	311	311
03032	904	904
03033	691	691
03034	848	848
03035	270	270
03036	174	174
03037	491	491
03038	390	390
03039	1101	1101
03040	555	555
03041	155	155
04002	738	738
04006	431	431
04011	140	140
04014	547	547
04016	860	860
04021	136	136
04025	707	707
04036	308	308
04038	206	206
05002	398	398
05012	319	319
05013	46	46
05030	102	102
06007	7	7
07001	27	27
07003	1	1
08001	307	307
08002	208	208
08009	255	255
08013	457	457
08016	128	128
08020	466	466
08021	496	496
08026	196	196
08028	396	396
08043	39	39
08054	208	208
08055	321	321
20001	428	428
20003	374	374
20007	487	487
20008	232	232
20010	303	303
20011	539	539
20012	382	382
20014	227	227
20018	285	285
20019	423	423
20023	368	368
20027	0	0
20030	183	183
20031	480	480
20033	249	249
20035	280	280
20037	122	122
20039	4	4
27038	149	149
42010	517	517
42014	526	526
42015	132	132
42019	436	436
42020	728	728
42022	302	302
42023	610	610
42025	639	639
42027	375	375
42032	678	678
42033	658	658
42039	1085	1085
42040	164	164
42042	1068	1068
