Precinct	total_votes	votes|Greg Harris
33018	107	107
39013	10	10
39022	151	151
39030	29	29
40001	195	195
40002	210	210
40003	359	359
40004	15	15
40005	265	265
40006	396	396
40007	290	290
40008	392	392
40009	163	163
40010	52	52
40011	307	307
40012	240	240
40013	498	498
40014	189	189
40015	222	222
40016	410	410
40017	238	238
40018	174	174
40019	302	302
40020	203	203
40021	356	356
40022	342	342
40023	415	415
40024	197	197
40025	378	378
40026	368	368
40027	362	362
40029	251	251
40030	217	217
40031	362	362
40032	356	356
40033	330	330
40034	211	211
40035	115	115
40036	268	268
40037	269	269
40038	407	407
40039	11	11
46001	239	239
46002	291	291
46004	304	304
46006	255	255
46008	186	186
46012	395	395
46014	200	200
46016	398	398
46020	228	228
46021	177	177
46022	237	237
46023	258	258
46025	280	280
46026	250	250
46029	28	28
46032	279	279
46037	207	207
46040	291	291
47005	144	144
47010	453	453
47015	452	452
47019	501	501
47020	318	318
47022	382	382
47023	443	443
47026	435	435
47028	298	298
47030	392	392
47031	341	341
47032	413	413
47034	382	382
47036	395	395
47037	337	337
47038	332	332
47039	10	10
47041	325	325
47042	327	327
47045	333	333
48004	302	302
48007	4	4
48014	0	0
48017	274	274
48020	259	259
48021	380	380
48023	300	300
48024	304	304
48035	185	185
48038	73	73
