Precinct	total_votes	votes|Kam Buckner
02002	155	155
02010	121	121
02011	199	199
02013	214	214
02018	210	210
02019	102	102
02023	145	145
02027	101	101
02029	142	142
02034	194	194
02042	76	76
03002	22	22
03004	295	295
03011	49	49
03012	112	112
03019	269	269
03021	90	90
03027	137	137
03030	221	221
03031	170	170
04003	178	178
04004	342	342
04006	93	93
04007	341	341
04008	297	297
04011	161	161
04012	310	310
04015	53	53
04018	265	265
04019	176	176
04023	68	68
04024	238	238
04026	235	235
04028	246	246
04029	223	223
04030	305	305
04032	287	287
04033	273	273
04034	46	46
04035	307	307
04036	163	163
04038	206	206
05004	313	313
05005	195	195
05006	178	178
05010	176	176
05013	187	187
05014	27	27
05015	243	243
05016	209	209
05017	64	64
05021	93	93
05028	122	122
05030	76	76
05036	88	88
07001	131	131
07002	159	159
07003	215	215
07004	189	189
07010	213	213
07011	9	9
07015	184	184
07016	35	35
07017	1	1
07019	164	164
07020	122	122
07021	28	28
07023	192	192
07024	130	130
07025	119	119
07028	24	24
07030	19	19
07031	116	116
07033	3	3
08001	7	7
08002	82	82
08021	0	0
08042	219	219
10018	80	80
10027	121	121
10034	65	65
10036	0	0
20005	229	229
20009	278	278
20016	230	230
20022	249	249
20024	67	67
42001	175	175
42002	196	196
42004	408	408
42006	236	236
42007	234	234
42008	222	222
42011	85	85
42013	227	227
42019	77	77
42024	145	145
42026	253	253
42028	209	209
42029	181	181
42030	160	160
42031	240	240
42034	178	178
42035	276	276
42040	173	173
43035	215	215
