Precinct	total_votes	votes|Robert ''Bob'' Rita
09001	113	113
09002	100	100
09004	116	116
09005	197	197
09006	185	185
09009	45	45
09013	65	65
09014	255	255
09017	69	69
09019	181	181
09022	213	213
09029	119	119
09031	117	117
09032	200	200
09034	138	138
09035	196	196
09038	104	104
09039	228	228
09040	248	248
09043	91	91
09044	36	36
34002	93	93
34003	216	216
34004	143	143
34006	243	243
34009	129	129
34011	148	148
34014	156	156
34015	37	37
34016	165	165
34018	139	139
34020	116	116
34022	193	193
34023	178	178
34024	183	183
34026	249	249
34027	149	149
34028	102	102
34030	219	219
34031	128	128
34033	146	146
34036	191	191
34037	108	108
34038	80	80
34039	128	128
34041	117	117
34042	226	226
34050	162	162
34051	148	148
34053	122	122
