Precinct	total_votes	votes|Maggie O'Keefe	votes|Andre Vasquez
40001	218	122	96
40002	230	140	90
40003	374	225	149
40004	130	64	66
40005	295	166	129
40006	408	238	170
40007	312	191	121
40008	420	232	188
40009	194	79	115
40010	239	105	134
40011	340	165	175
40012	266	143	123
40013	536	270	266
40014	208	115	93
40015	227	122	105
40016	437	231	206
40017	258	171	87
40018	186	88	98
40019	311	130	181
40020	218	102	116
40021	379	244	135
40022	358	190	168
40023	435	199	236
40024	211	114	97
40025	395	220	175
40026	391	186	205
40027	378	165	213
40028	338	160	178
40029	300	202	98
40030	251	136	115
40031	400	206	194
40032	385	222	163
40033	347	171	176
40034	230	130	100
40035	123	54	69
40036	287	128	159
40037	281	140	141
40038	417	253	164
40039	68	22	46
