Precinct	total_votes	votes|Sonya Marie Harper
03001	150	150
03003	422	422
03005	296	296
03010	268	268
03013	647	647
03018	443	443
03026	605	605
03029	72	72
03036	80	80
03041	275	275
04013	786	786
04016	157	157
04017	679	679
04020	435	435
04021	508	508
04037	1091	1091
06015	147	147
06018	37	37
06028	69	69
11012	510	510
11013	447	447
11021	481	481
11024	474	474
11028	198	198
11029	473	473
11031	401	401
11032	163	163
11034	130	130
11035	61	61
15001	327	327
15002	236	236
15003	200	200
15005	58	58
15007	108	108
15013	92	92
15014	59	59
15017	235	235
15018	201	201
15020	237	237
15021	202	202
15022	18	18
15023	262	262
15024	235	235
16002	201	201
16003	279	279
16004	352	352
16005	228	228
16006	138	138
16008	218	218
16009	285	285
16010	269	269
16012	269	269
16014	226	226
16015	286	286
16017	146	146
16018	352	352
16019	310	310
16020	217	217
16021	266	266
16022	284	284
16025	341	341
16026	218	218
16027	228	228
16028	249	249
16030	32	32
16031	278	278
16033	34	34
16034	254	254
16036	225	225
17001	1	1
17006	367	367
17008	120	120
17016	49	49
17017	5	5
17025	285	285
18050	106	106
20002	141	141
20004	183	183
20006	175	175
20013	405	405
20015	401	401
20017	257	257
20020	308	308
20021	333	333
20025	268	268
20027	216	216
20029	472	472
20032	329	329
20036	135	135
20038	129	129
20039	28	28
25014	0	0
25021	1020	1020
25027	300	300
42005	470	470
42009	787	787
42010	283	283
42012	192	192
42014	270	270
42015	662	662
42017	921	921
42018	800	800
42021	595	595
42033	3	3
42036	595	595
42037	454	454
42038	565	565
42041	429	429
