Precinct	total_votes	votes|Denyse Wang Stoneback
40004	259	259
40010	462	462
40029	0	0
40035	1	1
40039	124	124
50001	334	334
50002	229	229
50003	299	299
50004	459	459
50005	236	236
50006	454	454
50007	528	528
50008	77	77
50009	351	351
50010	392	392
50011	157	157
50012	153	153
50013	569	569
50014	122	122
50015	510	510
50016	118	118
50017	426	426
50018	47	47
50019	359	359
50020	437	437
50021	371	371
50022	346	346
50023	281	281
50025	251	251
50026	448	448
50027	120	120
50028	466	466
50029	463	463
50030	348	348
50031	609	609
50032	534	534
50033	213	213
50034	514	514
50035	590	590
50036	418	418
50037	471	471
50038	141	141
50039	248	248
50040	241	241
