Precinct	total_votes	votes|Thaddeus Jones
09003	237	237
09004	90	90
09007	274	274
09011	276	276
09015	425	425
09016	370	370
09018	275	275
09026	451	451
09028	148	148
09031	47	47
09033	282	282
09041	308	308
09044	266	266
09045	316	316
