Precinct	total_votes	votes|Margaret Croke
02028	630	630
02030	443	443
02031	565	565
02033	719	719
02035	739	739
02037	446	446
02038	148	148
02044	305	305
27009	0	0
27012	374	374
27046	401	401
43004	678	678
43008	410	410
43012	368	368
43013	567	567
43014	563	563
43015	564	564
43019	577	577
43025	444	444
43026	343	343
43027	493	493
43028	706	706
43032	586	586
43033	503	503
43034	357	357
43036	375	375
43038	364	364
43042	539	539
43043	538	538
44001	950	950
44003	308	308
44004	464	464
44005	631	631
44006	845	845
44007	360	360
44008	870	870
44010	692	692
44011	270	270
44012	663	663
44013	537	537
44014	602	602
44015	562	562
44017	822	822
44018	676	676
44019	737	737
44020	797	797
44021	761	761
44022	584	584
44023	624	624
44024	412	412
44025	39	39
44026	807	807
44027	735	735
44028	683	683
44029	739	739
44031	573	573
44032	726	726
44033	697	697
44034	681	681
44035	680	680
44036	734	734
44037	704	704
44038	783	783
44039	690	690
44040	613	613
44041	845	845
46003	664	664
46005	779	779
46007	535	535
46009	651	651
46010	1048	1048
46011	558	558
46013	616	616
46015	615	615
46017	613	613
46018	669	669
46019	378	378
46024	723	723
46026	292	292
46027	774	774
46028	522	522
46029	408	408
46030	617	617
46031	618	618
46033	636	636
46034	755	755
46035	634	634
46036	528	528
46038	677	677
46039	532	532
