Precinct	total_votes	votes|Celina Villanueva
12002	159	159
12006	202	202
12007	200	200
12010	213	213
12011	217	217
12012	195	195
12013	22	22
12014	177	177
12015	171	171
12016	150	150
12017	123	123
12018	139	139
12020	186	186
12022	201	201
13001	161	161
13002	138	138
13003	161	161
13004	154	154
13005	204	204
13006	182	182
13007	133	133
13008	141	141
13009	178	178
13010	141	141
13011	208	208
13012	154	154
13013	186	186
13014	163	163
13015	266	266
13016	131	131
13017	140	140
13018	122	122
13019	239	239
13020	104	104
13021	164	164
13022	154	154
13023	122	122
13024	156	156
13025	181	181
13026	152	152
13027	157	157
13028	139	139
13029	138	138
13030	170	170
13031	159	159
13032	140	140
13033	165	165
13034	217	217
13035	200	200
13036	121	121
13037	177	177
13038	148	148
13039	154	154
13040	155	155
13041	222	222
13042	177	177
13043	170	170
13044	183	183
13045	198	198
13046	207	207
13047	203	203
13048	132	132
14001	24	24
14003	157	157
14006	19	19
14010	0	0
14011	104	104
14015	192	192
14018	28	28
14022	172	172
14023	20	20
15006	166	166
15009	4	4
15010	116	116
15011	78	78
15012	20	20
18015	200	200
18043	118	118
18046	165	165
22004	108	108
22005	3	3
22007	108	108
22010	231	231
22013	105	105
22014	164	164
22015	98	98
22016	127	127
22017	35	35
22018	62	62
22019	0	0
22022	155	155
23001	135	135
23002	143	143
23004	180	180
23005	200	200
23006	54	54
23007	164	164
23008	201	201
23009	156	156
23010	204	204
23011	186	186
23012	159	159
23013	159	159
23014	15	15
23015	69	69
23016	149	149
23017	27	27
23018	133	133
23020	100	100
23021	176	176
23022	53	53
23023	154	154
23024	52	52
23025	31	31
23026	91	91
23027	144	144
23028	161	161
23029	136	136
23030	226	226
23032	151	151
23033	177	177
23034	189	189
23035	135	135
23036	129	129
23037	109	109
23038	135	135
23039	189	189
24016	346	346
