Precinct	total_votes	votes|Trina Mangrum	votes|Lakesia Collins	votes|Aaron Turner	votes|Tyjuan ''Ty'' Cratic	votes|Maurice Edwards	votes|Sandra Schneller	votes|Nicole L. ''Nikki'' Harvey
02009	164	7	56	20	32	15	15	19
02012	260	15	131	15	42	15	19	23
02020	4	0	3	0	0	0	0	1
02041	55	4	16	8	8	2	7	10
02046	144	9	53	12	26	3	31	10
11002	16	2	4	3	2	0	1	4
11006	311	22	170	37	33	7	23	19
11007	271	21	151	21	29	10	11	28
11033	285	16	132	42	24	8	41	22
12010	63	6	21	8	7	4	12	5
22019	91	8	48	25	5	1	2	2
22021	207	13	93	74	4	4	3	16
24001	180	32	74	49	5	3	5	12
24002	168	27	64	44	6	3	2	22
24003	188	22	76	73	2	4	0	11
24004	139	17	91	18	3	2	1	7
24005	102	11	57	19	2	3	2	8
24006	224	17	96	81	3	8	3	16
24007	106	7	62	6	8	3	10	10
24008	87	8	37	22	1	5	1	13
24009	173	13	70	62	6	7	5	10
24010	91	6	39	18	3	4	7	14
24011	195	22	101	40	4	5	2	21
24012	85	9	43	23	3	2	1	4
24013	85	7	47	21	0	1	0	9
24014	155	23	83	15	5	5	12	12
24015	76	7	31	23	1	0	1	13
24016	12	0	9	1	1	0	1	0
24017	115	19	54	20	2	2	3	15
24018	206	33	88	54	5	3	3	20
24020	67	9	32	4	1	2	1	18
24021	96	11	53	16	0	1	1	14
24022	239	34	110	41	8	6	5	35
24023	140	14	59	37	4	8	3	15
24024	216	29	83	51	4	4	2	43
24025	142	18	76	22	3	3	6	14
24026	289	54	137	44	4	4	10	36
24027	202	35	92	45	7	3	4	16
24028	148	25	61	27	4	5	2	24
24029	154	13	91	33	4	2	0	11
24030	118	12	83	13	1	0	4	5
24031	212	13	85	94	3	2	1	14
24033	119	17	52	33	4	3	4	6
24034	180	16	73	53	2	7	5	24
24035	168	24	89	38	2	3	1	11
24036	232	17	87	98	8	2	3	17
24037	109	15	59	21	2	1	1	10
24038	177	33	78	30	8	3	3	22
24039	196	23	93	41	3	5	13	18
24040	189	30	99	27	4	10	8	11
25003	282	22	127	32	42	6	32	21
25004	184	24	94	19	17	4	8	18
25010	230	24	97	14	51	2	22	20
25016	268	28	94	32	35	4	46	29
25020	144	5	75	31	3	11	7	12
25025	217	29	91	23	29	5	24	16
25027	152	7	64	22	25	7	13	14
25029	211	19	127	17	5	15	9	19
25031	304	21	135	40	48	8	29	23
27002	177	20	93	16	14	3	16	15
27006	232	11	86	25	18	45	32	15
27009	111	8	44	10	13	15	16	5
27010	73	6	36	7	5	4	8	7
27011	47	2	28	3	8	2	2	2
27014	51	4	23	3	3	3	4	11
27016	119	8	42	14	29	1	14	11
27018	162	13	83	14	9	14	12	17
27020	147	8	83	10	3	21	9	13
27021	192	16	74	18	20	21	25	18
27025	64	8	30	9	3	2	3	9
27028	180	18	99	9	16	10	14	14
27033	65	6	26	8	5	3	7	10
27037	204	16	97	21	19	12	22	17
27038	191	22	94	25	16	4	16	14
27041	202	19	124	15	5	21	8	10
27042	156	19	85	9	14	3	11	15
27045	364	22	161	42	60	10	30	39
27047	179	10	92	12	9	30	13	13
27048	352	26	176	21	22	71	18	18
28004	135	14	61	19	19	4	9	9
28005	148	33	56	14	14	7	8	16
28006	91	9	35	14	16	3	10	4
28008	150	15	71	17	15	4	15	13
28010	218	31	108	31	17	3	18	10
28011	418	55	207	28	61	17	27	23
28018	173	19	88	23	8	6	8	21
28019	152	30	50	15	26	4	13	14
28027	200	23	101	20	17	3	24	12
28028	245	31	105	34	28	7	28	12
28029	83	18	34	11	4	3	4	9
28032	0	0	0	0	0	0	0	0
28034	293	76	111	42	10	19	14	21
28035	181	27	103	16	3	7	14	11
28045	166	15	88	17	21	1	11	13
28046	353	55	143	30	57	13	35	20
42003	228	17	98	24	39	9	25	16
42009	1	0	0	1	0	0	0	0
42012	122	7	46	10	28	1	15	15
42016	228	27	102	21	40	6	18	14
42018	0	0	0	0	0	0	0	0
42021	60	5	24	7	13	0	6	5
42036	105	7	49	9	18	3	10	9
42041	49	10	20	1	8	3	5	2
43001	135	8	50	7	32	6	22	10
43003	268	14	110	21	77	8	24	14
43005	111	6	39	13	42	1	7	3
43045	185	12	69	15	50	6	20	13
