Precinct	total_votes	votes|Patrick Daley Thompson (Joseph R. Bide	votes|Donna Hughes (Joseph R. Biden)	votes|Kyle R. Hastings (Joseph R. Biden)	votes|Lynn Barker (Joseph R. Biden)	votes|Kevin E. O'Gorman (Joseph R. Biden)	votes|Adriana D. Olson (Joseph R. Biden)	votes|Amalia Dejesus (Bernie Sanders)	votes|Deliah Odeh (Bernie Sanders)	votes|Maureen Sullivan (Bernie Sanders)	votes|Daniel Guzman (Bernie Sanders)	votes|Jose Requena (Bernie Sanders)	votes|Kyle Killacky (Bernie Sanders)	votes|Neel Jhobalia (Andrew Yang)	votes|Brian Pioppo (Andrew Yang)	votes|Kate Wu (Andrew Yang)	votes|Kathleen ''Kathy'' Shaevel (Elizabeth	votes|Adam Flores (Elizabeth Warren)	votes|Angela Robertson (Elizabeth Warren)	votes|Jose Luis Torrez (Elizabeth Warren)	votes|Tammy Georgiou (Elizabeth Warren)	votes|Christian D. Perry (Elizabeth Warren)
23009	400	30	26	23	24	23	25	41	34	35	42	36	30	2	4	1	3	7	2	9	1	2
23010	1099	73	67	63	67	65	71	114	87	95	113	99	81	6	5	9	8	20	10	32	6	8
23011	1054	62	53	50	48	46	50	113	99	99	126	105	88	7	5	3	14	17	14	33	12	10
23012	980	98	90	92	88	90	88	63	58	62	62	54	51	16	17	19	5	5	5	9	5	3
23014	939	105	84	78	73	78	78	69	51	66	64	57	50	5	10	9	8	11	7	19	10	7
23015	370	20	18	12	16	12	11	48	43	37	48	42	38	3	2	4	2	4	3	6	1	0
23016	1005	109	90	92	83	93	84	66	58	63	70	56	52	8	9	11	11	11	9	13	8	9
23017	355	20	12	13	11	18	11	47	39	42	44	39	34	1	0	3	4	3	3	6	2	3
23018	827	84	70	69	67	65	62	60	52	55	60	53	51	8	11	10	9	9	8	10	7	7
23019	534	30	28	27	25	25	28	67	54	52	65	60	45	0	0	2	2	9	2	11	1	1
23020	546	32	29	26	25	28	30	67	55	57	66	57	45	2	2	1	3	5	2	12	2	0
23021	1144	129	115	118	112	115	102	69	50	58	60	56	50	7	9	13	18	16	16	12	12	7
23022	951	94	75	75	75	76	77	68	62	73	73	62	59	6	9	9	9	9	7	21	6	6
23023	995	100	92	89	91	83	89	58	51	61	64	53	57	10	15	13	10	13	12	17	8	9
23025	911	49	41	37	38	39	41	109	90	101	106	95	84	5	5	9	9	14	10	14	10	5
23026	614	31	24	22	24	25	26	78	67	74	79	70	66	3	4	3	4	4	1	6	2	1
23027	1015	109	89	89	86	92	80	67	55	69	67	59	52	11	12	16	8	16	10	16	8	4
23028	989	91	78	77	71	73	76	77	60	75	80	64	61	10	9	13	14	15	10	18	9	8
23029	911	74	74	63	57	61	62	68	60	70	77	60	57	7	7	8	13	28	14	21	18	12
23030	1182	76	69	63	61	60	67	130	109	112	134	117	101	4	5	7	8	17	12	16	7	7
23031	644	30	24	17	24	16	26	92	69	73	86	77	64	7	8	5	0	9	2	11	1	3
23032	889	65	57	59	52	56	53	98	77	75	91	78	77	3	7	9	6	7	4	8	5	2
23033	932	55	45	34	38	35	44	116	86	97	113	96	79	5	9	12	9	17	10	21	3	8
23034	643	42	38	34	36	33	37	71	61	58	74	63	53	5	1	2	3	10	8	11	1	2
23035	771	72	68	65	58	63	61	56	42	48	59	53	48	12	11	14	7	12	5	10	4	3
23036	872	92	84	76	76	75	70	53	50	55	57	50	46	10	7	9	16	13	8	12	5	8
23037	991	112	96	88	82	88	79	70	61	64	71	63	47	6	9	10	3	15	4	15	4	4
23038	906	83	59	61	58	66	55	74	64	66	71	62	58	11	9	12	13	19	16	20	14	15
23039	270	9	12	9	9	8	13	33	34	28	37	34	29	0	0	1	0	5	2	5	1	1
